id,Study,Year,PDF link,PDF path,type,tp,fn,fp,tn,n_pos,n_neg,Unit,Modality,Reference standard,Region,Validation type,Design (prospective),Vendor involvement,Glaucoma target,Glaucoma superclass,Age (glaucoma),Prevalence,AI algorithm,Source sheet,region_std,validation_std,prospective_std,vendor_inv,glaucoma_target_std,glaucoma_superclass,age_num,prevalence,modality_std,unit,arm_node,node_type,study_id,Sens_pt,Sens_lo,Sens_hi,Spec_pt,Spec_lo,Spec_hi,decade,size_tier,region_simple,validation_simple,ref_std_category,rob_overall,cohort_id,study_num,test_num,node,node_compare,pos,neg,ai_class
76,Juneja (2020),2020,projects/glaucoma-dl-dta-nma/pdfs/Juneja (2020).pdf,04_fulltext/pdfs/Juneja (2020).pdf,AI-only,143,2,5,117,145,122,image,fundus,expert ophthalmologist,Asia,internal,cross-sectional,no,confirmed,unspecified,n/r,0.543,GC-NET (proposed),claude_pdf,Asia,internal,cross-sectional,no,confirmed,n/r,n/r,n/r,fundus,n/r,GC-NET (proposed),AI-only,Juneja (2020),0.9862,0.9511,0.9962,0.9590,0.9076,0.9824,2020-24,medium,Asia,internal,expert_clinical,unclear,Juneja (2020),64,1,AI-only,AI-vs-Reader,145,122,deep learning
77,Pandey (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Pandey (2024).pdf,04_fulltext/pdfs/Pandey (2024).pdf,AI-only,91,34,0,375,125,375,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,Deep convolutional ensemble (DCE; glaucoma vs all non-glaucoma; all test-set predictions aggregated across 5 repeats),codex_v5_vision,mixed,internal,retrospective,unclear,any,n/r,n/r,n/r,fundus,n/r,Deep convolutional ensemble (DCE; glaucoma vs all non-glaucoma; all test-set predictions aggregated across 5 repeats),AI-only,Pandey (2024),0.7280,0.6441,0.7983,1.0000,0.9899,1.0000,2020-24,medium,mixed,internal,expert_clinical,unclear,Pandey (2024),65,1,AI-only,AI-vs-Reader,125,375,deep learning
78,Pandey (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Pandey (2024).pdf,04_fulltext/pdfs/Pandey (2024).pdf,Human-only,120,55,20,505,175,525,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,Board-certified ophthalmologists (glaucoma vs all non-glaucoma; all test-set predictions aggregated across 7 readers),codex_v5_vision,mixed,internal,retrospective,unclear,any,n/r,n/r,n/r,fundus,n/r,Board-certified ophthalmologists (glaucoma vs all non-glaucoma; all test-set predictions aggregated across 7 readers),Human-only,Pandey (2024),0.6857,0.6136,0.7499,0.9619,0.9419,0.9752,2020-24,medium,mixed,internal,expert_clinical,unclear,Pandey (2024),65,2,Human-only,AI-vs-Reader,175,525,human reader
79,Islam (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Islam (2025).pdf,04_fulltext/Islam (2025).pdf,AI-only,423,77,28,472,500,500,image,multimodal,Expert clinician diagnosis based on comprehensive clinical evaluation,Asia,internal,retrospective,no,any,any,n/r,n/r,Fundus-only (ResNet-18) - 5-fold CV aggregated,codex_v2,Asia,internal,retrospective,no,any,n/r,n/r,n/r,multimodal,n/r,Fundus-only (ResNet-18) - 5-fold CV aggregated,AI-only,Islam (2025),0.8460,0.8117,0.8750,0.9440,0.9203,0.9610,2025+,large,Asia,internal,expert_clinical,unclear,Islam (2025),66,1,AI-only,AI-vs-Reader,500,500,deep learning
80,Yang (2020),2020,projects/glaucoma-dl-dta-nma/pdfs/Yang (2020).pdf,04_fulltext/Yang (2020).pdf,AI-only,98,8,14,2555,106,2569,image,fundus,"Two expert neuro-ophthalmologists, corroborated by visual field testing and OCT; GON required clinical glaucoma with progressive optic disc change/RNFL thinning/repeatable glaucomatous visual field defect, and NGON causes were confirmed by brain MRI plus laboratory/genetic evaluation as applicable.",Asia,internal,retrospective,no,glaucomatous optic neuropathy,any,n/r,n/r,ResNet-50: GON vs all others,codex_v2,Asia,internal,retrospective,no,glaucomatous optic neuropathy,n/r,n/r,n/r,fundus,n/r,ResNet-50: GON vs all others,AI-only,Yang (2020),0.9245,0.8581,0.9613,0.9946,0.9909,0.9968,2020-24,large,Asia,internal,expert_clinical,unclear,Yang (2020),67,1,AI-only,AI-vs-Reader,106,2569,deep learning
81,Phene (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Phene (2019).pdf,04_fulltext/pdfs/Phene (2019).pdf,AI-only,174,44,97,890,218,987,image,fundus,combined criteria,mixed,external,retrospective,yes,referable,unspecified,57,0.181,DL algorithm (Inception-v3 ensemble) - Validation A,claude_pdf,mixed,external,retrospective,yes,referable,n/r,n/r,n/r,fundus,n/r,DL algorithm (Inception-v3 ensemble) - Validation A,AI-only,Phene (2019),0.7982,0.7399,0.8461,0.9017,0.8816,0.9188,2015-19,large,mixed,external,multimodal_objective,unclear,Phene (2019),68,1,AI-only,AI-vs-Reader,218,987,deep learning
82,Ramzan (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Ramzan (2019).pdf,04_fulltext/pdfs/Ramzan (2019).pdf,Human-only,20,4,9,17,24,26,image,OCT,Clinical CDR annotations by ophthalmologists; best reported comparison used senior ophthalmologist 4 as reference,Asia,internal,cross-sectional,no,any,any,n/r,n/r,Proposed automated CDR system vs Ophthalmologist 1 (AFIO dataset),claude_opus_v4,Asia,internal,cross-sectional,no,any,n/r,n/r,n/r,OCT,n/r,Proposed automated CDR system vs Ophthalmologist 1 (AFIO dataset),Human-only,Ramzan (2019),0.8333,0.6415,0.9332,0.6538,0.4622,0.8059,2015-19,small,Asia,internal,expert_clinical,unclear,Ramzan (2019),69,2,Human-only,AI-vs-Reader,24,26,human reader
83,Ramzan (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Ramzan (2019).pdf,04_fulltext/pdfs/Ramzan (2019).pdf,AI-only,21,6,7,16,27,23,image,OCT,Clinical CDR annotations by ophthalmologists; best reported comparison used senior ophthalmologist 4 as reference,Asia,internal,cross-sectional,no,any,any,n/r,n/r,Proposed automated CDR system vs CGV CDR (AFIO dataset),claude_opus_v4,Asia,internal,cross-sectional,no,any,n/r,n/r,n/r,OCT,n/r,Proposed automated CDR system vs CGV CDR (AFIO dataset),AI-only,Ramzan (2019),0.7778,0.5924,0.8939,0.6957,0.4913,0.8440,2015-19,small,Asia,internal,expert_clinical,unclear,Ramzan (2019),69,1,AI-only,AI-vs-Reader,27,23,rule-based (percentile/CDR)
84,Zemborain (2020),2020,projects/glaucoma-dl-dta-nma/pdfs/Zemborain (2020).pdf,04_fulltext/pdfs/Zemborain (2020).pdf,Human-only,62,2,1,35,64,36,eye,OCT,expert ophthalmologist,North America,internal,cross-sectional,yes,confirmed,unspecified,55.5,0.64,OCT specialist,claude_pdf,North America,internal,cross-sectional,yes,confirmed,n/r,n/r,n/r,OCT,n/r,OCT specialist,Human-only,Zemborain (2020),0.9688,0.8930,0.9914,0.9722,0.8583,0.9951,2020-24,small,non-Asia,internal,expert_clinical,unclear,Zemborain (2020),70,2,Human-only,AI-vs-Reader,64,36,human reader
85,Rodriguez-Robles (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Rodriguez-Robles (2023).pdf,04_fulltext/Rodriguez-Robles (2023).pdf,AI-only,32,15,16,145,47,161,image,multimodal,"ophthalmologist classification of patients as healthy, glaucoma, or suspicious",Europe,internal,retrospective,no,any,any,n/r,n/r,Decision tree RET+OCT: Best Metrics RET and OCT,codex_v2,Europe,internal,retrospective,no,any,n/r,n/r,n/r,multimodal,n/r,Decision tree RET+OCT: Best Metrics RET and OCT,AI-only,Rodriguez-Robles (2023),0.6809,0.5383,0.7960,0.9006,0.8447,0.9379,2020-24,medium,non-Asia,internal,expert_clinical,unclear,Rodriguez-Robles (2023),71,1,AI-only,AI-vs-Reader,47,161,classical ML
86,Alryalat (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Alryalat (2024).pdf,04_fulltext/pdfs/Alryalat (2024).pdf,AI-only,20,20,20,340,40,360,image,fundus,structural+functional,Asia,external,retrospective,no,confirmed,mixed,n/r,0.1,"ChatGPT-4 (multimodal, no fine-tuning)",claude_pdf,Asia,external,retrospective,no,confirmed,n/r,n/r,n/r,fundus,n/r,"ChatGPT-4 (multimodal, no fine-tuning)",AI-only,Alryalat (2024),0.5000,0.3520,0.6480,0.9444,0.9158,0.9638,2020-24,medium,Asia,external,multimodal_objective,unclear,Alryalat (2024),72,1,AI-only,AI-vs-Reader,40,360,deep learning
87,Sanchez-Morales (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Sanchez-Morales (2022).pdf,04_fulltext/pdfs/Sanchez-Morales (2022).pdf,AI-only,742,47,28,890,789,918,image,fundus,expert ophthalmologist,Europe,internal,retrospective,no,confirmed,unspecified,n/r,0.462,"Ensemble (K-NN voting, K=10)",claude_pdf,Europe,internal,retrospective,no,confirmed,n/r,n/r,n/r,fundus,n/r,"Ensemble (K-NN voting, K=10)",AI-only,Sanchez-Morales (2022),0.9404,0.9217,0.9549,0.9695,0.9563,0.9788,2020-24,large,non-Asia,internal,expert_clinical,unclear,Sanchez-Morales (2022),73,1,AI-only,AI-vs-Reader,789,918,deep learning
88,Senthil (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Senthil (2025).pdf,04_fulltext/pdfs/Senthil (2025).pdf,AI-only,148,14,3,48,162,51,patient,fundus,structural+functional,Asia,external,prospective,yes,referable,mixed,55,0.761,Medios Glaucoma AI,claude_pdf,Asia,external,prospective,yes,referable,n/r,n/r,n/r,fundus,n/r,Medios Glaucoma AI,AI-only,Senthil (2025),0.9136,0.8602,0.9478,0.9412,0.8408,0.9798,2025+,medium,Asia,external,multimodal_objective,unclear,Senthil (2025),74,1,AI-only,AI-vs-Reader,162,51,deep learning
89,Krishnaadithya (2021),2020,projects/glaucoma-dl-dta-nma/pdfs/Serte (2021).pdf,04_fulltext/pdfs/Serte (2021).pdf,AI-only,187,41,21,215,228,236,image,fundus,expert ophthalmologist,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.49,Ensemble AlexNet+ResNet-50 (SP) + saliency,claude_pdf,Asia,internal,retrospective,no,confirmed,n/r,n/r,n/r,fundus,n/r,Ensemble AlexNet+ResNet-50 (SP) + saliency,AI-only,Krishnaadithya (2021),0.8202,0.7652,0.8646,0.9110,0.8678,0.9411,2020-24,medium,Asia,internal,expert_clinical,unclear,Krishnaadithya (2021),75,1,AI-only,AI-vs-Reader,228,236,deep learning
90,Shehryar (2020),2020,projects/glaucoma-dl-dta-nma/pdfs/Shehryar (2020).pdf,04_fulltext/pdfs/Shehryar (2020).pdf,AI-only,181,74,42,158,255,200,image,multimodal,AFIO ground-truth labels/clinical diagnosis annotated and validated by four ophthalmologists,Asia,both,cross-sectional,no,any glaucoma,any,n/r,n/r,"Proposed structural fundus module — RIM-ONE (455 images, 2-fold CV)",claude_opus_v4,Asia,both,cross-sectional,no,any glaucoma,n/r,n/r,n/r,multimodal,n/r,"Proposed structural fundus module — RIM-ONE (455 images, 2-fold CV)",AI-only,Shehryar (2020),0.7098,0.6513,0.7621,0.7900,0.7284,0.8407,2020-24,medium,Asia,n/r,expert_clinical,unclear,Shehryar (2020),76,1,AI-only,AI-vs-Reader,255,200,classical ML
91,Chang (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Chang (2021).pdf,04_fulltext/pdfs/Chang (2021).pdf,AI-only,46,12,55,492,58,547,image,fundus,expert ophthalmologist,Asia,internal,retrospective,yes,referable,unspecified,55.7,0.096,ResNet-50 (referable glaucoma),claude_pdf,Asia,internal,retrospective,yes,referable,n/r,n/r,n/r,fundus,n/r,ResNet-50 (referable glaucoma),AI-only,Chang (2021),0.7931,0.6723,0.8775,0.8995,0.8714,0.9219,2020-24,medium,Asia,internal,expert_clinical,unclear,Chang (2021),77,1,AI-only,AI-vs-Reader,58,547,deep learning
92,Shoukat (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Shoukat (2023).pdf,04_fulltext/pdfs/Shoukat (2023).pdf,AI-only,582,21,10,1427,603,1437,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,Proposed ResNet-50 deep learning model - G1020,codex_v5_vision,mixed,internal,retrospective,unclear,any,n/r,n/r,n/r,fundus,n/r,Proposed ResNet-50 deep learning model - G1020,AI-only,Shoukat (2023),0.9652,0.9473,0.9771,0.9930,0.9872,0.9962,2020-24,large,mixed,internal,expert_clinical,unclear,Shoukat (2023),78,1,AI-only,AI-vs-Reader,603,1437,deep learning
93,Shyamalee (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Shyamalee (2024).pdf,04_fulltext/Shyamalee (2024).pdf,AI-only,512,3,3,65,515,68,image,fundus,public dataset labels/annotations by ophthalmologists or glaucoma/eye specialists,Asia,external,retrospective,no,any,any,n/r,n/r,Proposed model - RIM-ONE classification,codex_v2,Asia,external,retrospective,no,any,n/r,n/r,n/r,fundus,n/r,Proposed model - RIM-ONE classification,AI-only,Shyamalee (2024),0.9942,0.9830,0.9980,0.9559,0.8781,0.9849,2020-24,medium,Asia,external,expert_clinical,unclear,Shyamalee (2024),79,1,AI-only,AI-vs-Reader,515,68,deep learning
94,Sidhu (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Sidhu (2024).pdf,04_fulltext/pdfs/Sidhu (2024).pdf,AI-only,365,75,107,428,440,535,image,fundus,expert ophthalmologist,Asia,internal,retrospective,no,confirmed,unspecified,57.9,0.451,ResNet50V2 (Lobe),claude_pdf,Asia,internal,retrospective,no,confirmed,n/r,n/r,n/r,fundus,n/r,ResNet50V2 (Lobe),AI-only,Sidhu (2024),0.8295,0.7916,0.8618,0.8000,0.7640,0.8317,2020-24,medium,Asia,internal,expert_clinical,unclear,Sidhu (2024),80,1,AI-only,AI-vs-Reader,440,535,deep learning
95,Singh (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Singh (2022).pdf,04_fulltext/pdfs/Singh (2022).pdf,AI-only,24,1,3,82,25,85,image,fundus,expert ophthalmologist,Asia,internal,retrospective,no,confirmed,unspecified,53.5,0.231,CPSO+KNN (univariate),claude_pdf,Asia,internal,retrospective,no,confirmed,n/r,n/r,n/r,fundus,n/r,CPSO+KNN (univariate),AI-only,Singh (2022),0.9600,0.8046,0.9929,0.9647,0.9013,0.9879,2020-24,small,Asia,internal,expert_clinical,unclear,Singh (2022),81,1,AI-only,AI-vs-Reader,25,85,classical ML
96,Song (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Song (2025).pdf,04_fulltext/pdfs/Song (2025).pdf,AI-only,515,51,51,799,566,850,image,combined,structural+functional,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.40,Concatenated CNN+ANN (Model 3),claude_pdf,Asia,internal,retrospective,no,confirmed,n/r,n/r,n/r,combined,n/r,Concatenated CNN+ANN (Model 3),AI-only,Song (2025),0.9099,0.8835,0.9308,0.9400,0.9220,0.9541,2025+,large,Asia,internal,multimodal_objective,unclear,Song (2025),82,1,AI-only,AI-vs-Reader,566,850,deep learning
97,Gheisari (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Gheisari (2021).pdf,04_fulltext/pdfs/Gheisari (2021).pdf,AI-only,852,592,128,238,1444,366,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,Total dataset: VGG16 CNN (fundus images),codex_v5_vision,mixed,internal,retrospective,unclear,any,n/r,n/r,n/r,fundus,n/r,Total dataset: VGG16 CNN (fundus images),AI-only,Gheisari (2021),0.5900,0.5645,0.6151,0.6503,0.6001,0.6973,2020-24,large,mixed,internal,expert_clinical,unclear,Gheisari (2021),83,1,AI-only,AI-vs-Reader,1444,366,deep learning
98,Szanto (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Szanto (2025).pdf,04_fulltext/pdfs/Szanto (2025).pdf,AI-only,1675,164,56,5119,1839,5175,image,OCT,other,North America,internal,cross-sectional,no,confirmed,unspecified,54.2,0.082,ResNet-3D-18 Model A (entire OCT volume),claude_pdf,North America,internal,cross-sectional,no,confirmed,n/r,n/r,n/r,OCT,n/r,ResNet-3D-18 Model A (entire OCT volume),AI-only,Szanto (2025),0.9108,0.8969,0.9230,0.9892,0.9860,0.9917,2025+,very large,non-Asia,internal,other,unclear,Szanto (2025),84,1,AI-only,AI-vs-Reader,1839,5175,deep learning
99,Sangchocanonta (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Sangchocanonta (2025).pdf,04_fulltext/pdfs/Sangchocanonta (2025).pdf,AI-only,35,3,2,11,38,13,image,fundus,"Consensus of three well-trained ophthalmologists (3/3 unanimous or 2/3 majority; tie/no-majority broken by an experienced supervisor) from the Center of Excellence in Glaucoma, Chulalongkorn",Asia,both,retrospective,no,any,any,n/r,n/r,DeiT-S + Polar + Pie (proposed) — DRISHTI-GS1 external test set,claude_opus_v4,Asia,both,retrospective,no,any,n/r,n/r,n/r,fundus,n/r,DeiT-S + Polar + Pie (proposed) — DRISHTI-GS1 external test set,AI-only,Sangchocanonta (2025),0.9211,0.7920,0.9728,0.8462,0.5777,0.9567,2025+,small,Asia,n/r,expert_clinical,unclear,Sangchocanonta (2025),85,1,AI-only,AI-vs-Reader,38,13,deep learning
100,Medeiros (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Medeiros (2019).pdf,04_fulltext/pdfs/Medeiros (2019).pdf,AI-only,1765,557,198,3772,2322,3970,image,fundus,structural+functional,North America,internal,cross-sectional,no,confirmed,POAG,64.0,0.369,ResNet34 DL (OCT-trained),claude_pdf,North America,internal,cross-sectional,no,confirmed,n/r,n/r,n/r,fundus,n/r,ResNet34 DL (OCT-trained),AI-only,Medeiros (2019),0.7601,0.7423,0.7771,0.9501,0.9429,0.9565,2015-19,very large,non-Asia,internal,multimodal_objective,unclear,Medeiros (2019),86,1,AI-only,AI-vs-Reader,2322,3970,deep learning
101,Upadhyaya (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Upadhyaya (2025).pdf,04_fulltext/pdfs/Upadhyaya (2025).pdf,AI-only,20,2,19,258,22,277,patient,fundus,expert ophthalmologist,Asia,external,prospective,yes,referable,unspecified,45,0.074,Medios AI-Glaucoma (conservative criterion),claude_pdf,Asia,external,prospective,yes,referable,n/r,n/r,n/r,fundus,n/r,Medios AI-Glaucoma (conservative criterion),AI-only,Upadhyaya (2025),0.9091,0.7219,0.9747,0.9314,0.8954,0.9557,2025+,medium,Asia,external,expert_clinical,unclear,Upadhyaya (2025),87,1,AI-only,AI-vs-Reader,22,277,deep learning
102,Upadhyaya (2025b),2025b,projects/glaucoma-dl-dta-nma/pdfs/Upadhyaya (2025b).pdf,04_fulltext/pdfs/Upadhyaya (2025b).pdf,AI-only,20,2,19,258,22,277,patient,fundus,expert ophthalmologist,Asia,external,prospective,yes,referable,unspecified,45,0.074,Medios AI-Glaucoma (offline),claude_pdf,Asia,external,prospective,yes,referable,n/r,n/r,n/r,fundus,n/r,Medios AI-Glaucoma (offline),AI-only,Upadhyaya (2025b),0.9091,0.7219,0.9747,0.9314,0.8954,0.9557,n/r,medium,Asia,external,expert_clinical,unclear,Upadhyaya (2025b),88,1,AI-only,AI-vs-Reader,22,277,deep learning
103,Wang (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Wang (2021).pdf,04_fulltext/pdfs/Wang (2021).pdf,AI-only,286,53,18,329,339,347,image,fundus,expert ophthalmologist,mixed,internal,cross-sectional,no,confirmed,unspecified,n/r,0.494,ONH-AlexNet,claude_pdf,mixed,internal,cross-sectional,no,confirmed,n/r,n/r,n/r,fundus,n/r,ONH-AlexNet,AI-only,Wang (2021),0.8437,0.8012,0.8784,0.9481,0.9195,0.9669,2020-24,medium,mixed,internal,expert_clinical,unclear,Wang (2021),89,1,AI-only,AI-vs-Reader,339,347,deep learning
104,Liu (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Liu (2024).pdf,04_fulltext/pdfs/Liu (2024).pdf,AI-only,92,44,298,1127,136,1425,image,fundus,diagnosis and labeling by two professional ophthalmologists (ISGEO definition for glaucoma),Asia,internal,retrospective,no,Glaucoma defined using ISGEO criteria,any,n/r,n/r,"Proposed multi-region multi-scan-pattern model — Macular + Middle + ONH, AMRFM attention fusion (5-fold CV, MRMSG-OCT)",claude_opus_v4,Asia,internal,retrospective,no,Glaucoma defined using ISGEO criteria,n/r,n/r,n/r,fundus,n/r,"Proposed multi-region multi-scan-pattern model — Macular + Middle + ONH, AMRFM attention fusion (5-fold CV, MRMSG-OCT)",AI-only,Liu (2024),0.6765,0.5939,0.7493,0.7909,0.7690,0.8112,2020-24,large,Asia,internal,expert_clinical,unclear,Liu (2024),90,1,AI-only,AI-vs-Reader,136,1425,deep learning
105,Xu (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Xu (2024).pdf,04_fulltext/pdfs/Xu (2024).pdf,AI-only,19,6,1,81,25,82,eye,combined,expert ophthalmologist,Asia,internal,retrospective,no,confirmed,unspecified,47.4,0.216,Dual-modal fusion network (Inception v3 + ANN),claude_pdf,Asia,internal,retrospective,no,confirmed,n/r,n/r,n/r,combined,n/r,Dual-modal fusion network (Inception v3 + ANN),AI-only,Xu (2024),0.7600,0.5657,0.8850,0.9878,0.9341,0.9978,2020-24,small,Asia,internal,expert_clinical,unclear,Xu (2024),91,1,AI-only,AI-vs-Reader,25,82,deep learning
106,Xiong (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Xiong (2025).pdf,04_fulltext/pdfs/Xiong (2025).pdf,AI-only,13,1,3,103,14,106,image,fundus,expert ophthalmologist,mixed,internal,retrospective,no,confirmed,unspecified,n/r,n/r,Multi-GlaucNet (REFUGE),claude_pdf,mixed,internal,retrospective,no,confirmed,n/r,n/r,n/r,fundus,n/r,Multi-GlaucNet (REFUGE),AI-only,Xiong (2025),0.9286,0.6853,0.9873,0.9717,0.9201,0.9903,2025+,small,mixed,internal,expert_clinical,unclear,Xiong (2025),92,1,AI-only,AI-vs-Reader,14,106,deep learning
107,Xu (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Xu (2021).pdf,04_fulltext/pdfs/Xu (2021).pdf,AI-only,745,132,132,873,877,1005,image,fundus,expert ophthalmologist,Asia,external,retrospective,no,confirmed,unspecified,n/r,0.466,TIA-Net (Tongren internal),claude_pdf,Asia,external,retrospective,no,confirmed,n/r,n/r,n/r,fundus,n/r,TIA-Net (Tongren internal),AI-only,Xu (2021),0.8495,0.8243,0.8716,0.8687,0.8464,0.8881,2020-24,large,Asia,external,expert_clinical,unclear,Xu (2021),93,1,AI-only,AI-vs-Reader,877,1005,deep learning
108,Kui (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Kui (2025).pdf,04_fulltext/pdfs/Kui (2025).pdf,AI-only,63,17,80,640,80,720,image,fundus,combined criteria,Asia,mixed,retrospective,no,screening,unspecified,n/r,n/r,PK-Net (GloLocNet) - ORIGA→REFUGE external,claude_pdf,Asia,mixed,retrospective,no,screening,n/r,n/r,n/r,fundus,n/r,PK-Net (GloLocNet) - ORIGA→REFUGE external,AI-only,Kui (2025),0.7875,0.6858,0.8629,0.8889,0.8638,0.9098,2025+,medium,Asia,n/r,multimodal_objective,unclear,Kui (2025),94,1,AI-only,AI-vs-Reader,80,720,deep learning
109,Surya (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Surya (2023).pdf,04_fulltext/Surya (2023).pdf,Human-only,10,2,14,438,12,452,image,fundus,Ophthalmologist/glaucoma specialist grading of fundus photographs according to International Council of Ophthalmology glaucoma guidelines,Asia,external,prospective,yes,any,any,n/r,n/r,"Dr Noon AI - physician clinic, glaucoma grader reference",codex_v2,Asia,external,prospective,yes,any,n/r,n/r,n/r,fundus,n/r,"Dr Noon AI - physician clinic, glaucoma grader reference",Human-only,Surya (2023),0.8333,0.5520,0.9530,0.9690,0.9487,0.9815,2020-24,medium,Asia,external,expert_clinical,unclear,Surya (2023),95,2,Human-only,AI-vs-Reader,12,452,human reader
110,Rao (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Rao (2024).pdf,04_fulltext/pdfs/Rao (2024).pdf,AI-only,104,7,19,113,111,132,patient,fundus,expert ophthalmologist,Asia,external,prospective,yes,referable,mixed,59,0.457,Medios AI-Glaucoma (ResNet-50),claude_pdf,Asia,external,prospective,yes,referable,n/r,n/r,n/r,fundus,n/r,Medios AI-Glaucoma (ResNet-50),AI-only,Rao (2024),0.9369,0.8755,0.9691,0.8561,0.7861,0.9059,2020-24,medium,Asia,external,expert_clinical,unclear,Rao (2024),96,1,AI-only,AI-vs-Reader,111,132,deep learning
111,Guo (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Guo (2021).pdf,04_fulltext/Guo (2021).pdf,AI-only,14,1,1,32,15,33,image,fundus,labels from public Kaggle dataset verified by retinal specialists,Asia,internal,retrospective,no,any glaucoma,any,n/r,n/r,"MobileNetV2 multiclass, glaucoma vs all other labels (Figure 3)",codex_v2,Asia,internal,retrospective,no,any glaucoma,n/r,n/r,n/r,fundus,n/r,"MobileNetV2 multiclass, glaucoma vs all other labels (Figure 3)",AI-only,Guo (2021),0.9333,0.7018,0.9881,0.9697,0.8468,0.9946,2020-24,small,Asia,internal,expert_clinical,unclear,Guo (2021),97,1,AI-only,AI-vs-Reader,15,33,deep learning
112,Atalay (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Atalay (2022).pdf,04_fulltext/pdfs/Atalay (2022).pdf,AI-only,318,2,15,223,320,238,image,fundus,expert ophthalmologist,Asia,internal,retrospective,no,confirmed,unspecified,n/r,n/r,ResNet-50,claude_pdf,Asia,internal,retrospective,no,confirmed,n/r,n/r,n/r,fundus,n/r,ResNet-50,AI-only,Atalay (2022),0.9938,0.9775,0.9983,0.9370,0.8986,0.9614,2020-24,medium,Asia,internal,expert_clinical,unclear,Atalay (2022),98,1,AI-only,AI-vs-Reader,320,238,deep learning
113,Guo (2022)b,2022,projects/glaucoma-dl-dta-nma/pdfs/Guo (2022)b.pdf,04_fulltext/pdfs/Guo (2022)b.pdf,AI-only,1644,67,94,3049,1711,3143,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,LAG dataset - Proposed MTCLF,codex_v5_vision,mixed,internal,retrospective,unclear,any,n/r,n/r,n/r,fundus,n/r,LAG dataset - Proposed MTCLF,AI-only,Guo (2022)b,0.9608,0.9506,0.9690,0.9701,0.9635,0.9755,2020-24,large,mixed,internal,expert_clinical,unclear,Guo (2022)b,99,1,AI-only,AI-vs-Reader,1711,3143,deep learning
114,David (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/David (2023).pdf,04_fulltext/David (2023).pdf,AI-only,4787,91,299,6583,4878,6882,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,Proposed SBEFCM ensemble CNN - LAG,codex_v2,mixed,internal,retrospective,unclear,any,n/r,n/r,n/r,fundus,n/r,Proposed SBEFCM ensemble CNN - LAG,AI-only,David (2021),0.9813,0.9772,0.9848,0.9566,0.9515,0.9611,2020-24,very large,mixed,internal,expert_clinical,unclear,David (2021),100,1,AI-only,AI-vs-Reader,4878,6882,deep learning
