Study,Year,Test_arm,AI_algorithm,Number_of_human_readers,Reader_experience_yrs,Reader_age,Reader_sex_female_pct,Validation_type,Reference_standard,Threshold_cutoff,Unit,Imaging_modality,Scan_target
Akter (2022),2022,Proposed DL (4-feature),"4-layer fully-connected sequential neural network (64 nodes/layer, ReLU, sigmoid output, Adam optimizer, binary cross-entropy)",n/r,n/r,n/r,n/r,internal,Clinical diagnosis (standard glaucoma work-up; Mills et al. staging),n/r,patient,OCT,"ONH (cpRNFL, CDR) plus visual-field MD/PSD"
Akter (2022),2022,Proposed CNN (segmented ONH cup OCT),"Custom 24-layer CNN (5 conv 3x3 blocks with kernels 32/64/128/256/512, BN+ReLU, max-pool, dropout, softmax; RMSProp, lr=1e-4)",n/r,n/r,n/r,n/r,internal,Clinical diagnosis (standard glaucoma work-up; Mills et al. staging),n/r,image,OCT,"ONH (cross-sectional B-scan, segmented cup surface area)"
Akter (2022),2022,ResNet18 (segmented ONH cup OCT),"ResNet18 pre-trained on ImageNet, fine-tuned (SGDM, lr=1e-4, batch 12, 20 epochs)",n/r,n/r,n/r,n/r,internal,Clinical diagnosis (standard glaucoma work-up; Mills et al. staging),n/r,image,OCT,"ONH (cross-sectional B-scan, segmented cup surface area)"
Akter (2022),2022,VGG16 (segmented ONH cup OCT),"VGG16 pre-trained on ImageNet, fine-tuned (SGDM, lr=1e-5, batch 12, 20 epochs)",n/r,n/r,n/r,n/r,internal,Clinical diagnosis (standard glaucoma work-up; Mills et al. staging),n/r,image,OCT,"ONH (cross-sectional B-scan, segmented cup surface area)"
Singh (2023),2023,BCS + SVM (REFUGE),Binary Cuckoo Search feature selection (39 features) + Support Vector Machine,0,n/r,n/r,n/r,internal,REFUGE dataset labels,n/r,image,fundus,ONH
Singh (2023),2023,BCS + RF (ORIGA),Binary Cuckoo Search feature selection (47 features) + Random Forest,0,n/r,n/r,n/r,internal,ORIGA dataset labels,n/r,image,fundus,ONH
Singh (2023),2023,BCS + RF (REFUGE+ORIGA),Binary Cuckoo Search feature selection (36 features) + Random Forest,0,n/r,n/r,n/r,internal,REFUGE + ORIGA dataset labels,n/r,image,fundus,ONH
Singh (2023),2023,PSO + SVM (REFUGE),Particle Swarm Optimization feature selection (24 features) + Support Vector Machine,0,n/r,n/r,n/r,internal,REFUGE dataset labels,n/r,image,fundus,ONH
Singh (2023),2023,PSO + SVM (ORIGA),Particle Swarm Optimization feature selection (19 features) + Support Vector Machine,0,n/r,n/r,n/r,internal,ORIGA dataset labels,n/r,image,fundus,ONH
Singh (2023),2023,ABC + Ensemble (REFUGE),Artificial Bee Colony feature selection (27 features) + Ensemble (RF+SVM+LR),0,n/r,n/r,n/r,internal,REFUGE dataset labels,n/r,image,fundus,ONH
Singh (2023),2023,ABC + Ensemble (ORIGA),Artificial Bee Colony feature selection (36 features) + Ensemble (RF+SVM+LR),0,n/r,n/r,n/r,internal,ORIGA dataset labels,n/r,image,fundus,ONH
Singh (2023),2023,PSO-ABC two-layer + SVM/ENS (REFUGE),Two-layered PSO followed by ABC feature selection (4 features) + Ensemble classifier,0,n/r,n/r,n/r,internal,REFUGE dataset labels,n/r,image,fundus,ONH
Singh (2023),2023,PSO-ABC two-layer + RF/SVM (ORIGA),Two-layered PSO-RF followed by ABC-SVM feature selection (4 features),0,n/r,n/r,n/r,internal,ORIGA dataset labels,n/r,image,fundus,ONH
Singh (2023),2023,PSO-ABC two-layer + ENS (REFUGE+ORIGA),Two-layered PSO-ENS followed by ABC-ENS feature selection (3 features) + Ensemble classifier,0,n/r,n/r,n/r,internal,REFUGE + ORIGA dataset labels,n/r,image,fundus,ONH
Al-Aswad (2019),2019,Pegasus deep learning system,ResNet-50,0,n/r,n/r,n/r,external,"SiMES clinical diagnosis (multimodal: tonometry, visual field, slit lamp, optic disc imaging)","0.01 (confidence score, optimized by Cohen kappa)",image,fundus,ONH
Al-Aswad (2019),2019,Ophthalmologists (individual graders),n/r,6,n/r,n/r,n/r,external,"SiMES clinical diagnosis (multimodal: tonometry, visual field, slit lamp, optic disc imaging)","Confidence 1-7 scale, threshold optimized by Cohen kappa",image,fundus,ONH
Al-Aswad (2019),2019,Best-case consensus (top 5 ophthalmologists),n/r,5,n/r,n/r,n/r,external,"SiMES clinical diagnosis (multimodal: tonometry, visual field, slit lamp, optic disc imaging)",Mean average of glaucoma gradings across best 5 ophthalmologists,image,fundus,ONH
Jan (2024),2024,AI (Inception-v3),Inception-v3 convolutional neural network,n/r,n/r,n/r,n/r,external,Glaucoma specialist panel consensus (2 specialists + 3rd adjudicator),Referable GON = suspect + certain categories,image,"Colour fundus photograph (45-degree, non-mydriatic, Topcon 3D OCT1000 Mark II, 2048x1536 PNG, downsized to 299x299)",ONH
Jan (2024),2024,Optometrists (Australian AHPRA-registered),n/r,11,12,n/r,63.6,external,Glaucoma specialist panel consensus (2 specialists + 3rd adjudicator),Referable GON = suspect + certain categories,image,"Colour fundus photograph (45-degree, non-mydriatic, Topcon 3D OCT1000 Mark II)",ONH
Jan (2025),2025,AI system (person-level),Inception-v3,n/r,n/r,n/r,n/r,external,Manual grading by two AHPRA-registered optometrists with ophthalmologist adjudication (ISGEO category 2),high or medium risk classified as referable; ungradable classified as referable,patient,fundus,ONH
Jan (2025),2025,AI system (image-level),Inception-v3,n/r,n/r,n/r,n/r,external,Manual grading by two AHPRA-registered optometrists with ophthalmologist adjudication (ISGEO category 2),high or medium risk classified as referable; ungradable classified as referable,eye,fundus,ONH
Jan (2025),2025,Human graders (optometrists + ophthalmologist adjudicator),n/r,3,n/r,n/r,n/r,external,"ISGEO category 2 definition for GON (disc hemorrhage, RNFL defects)",definite glaucoma or glaucoma suspicion = referable,eye,fundus,ONH
Sun (2021),2021,DICNN (RNFL/GCIPL),VGG16-based dual-input CNN,n/r,n/r,n/r,n/r,internal,Expert ophthalmologist diagnosis of POAG (SDP + red-free RNFL photography + gonioscopy + HVF),n/r,eye,OCT,RNFL + GCIPL (peripapillary RNFL and macular GCIPL thickness maps)
Sun (2021),2021,VGG16 (RNFL),VGG16,n/r,n/r,n/r,n/r,internal,Expert ophthalmologist diagnosis of POAG (SDP + red-free RNFL photography + gonioscopy + HVF),n/r,eye,OCT,RNFL (peripapillary RNFL thickness map)
Sun (2021),2021,VGG16 (GCIPL),VGG16,n/r,n/r,n/r,n/r,internal,Expert ophthalmologist diagnosis of POAG (SDP + red-free RNFL photography + gonioscopy + HVF),n/r,eye,OCT,macula (GCIPL thickness map)
Sun (2021),2021,Ensemble model (VGG16 RNFL + VGG16 GCIPL fused output),Fused-output ensemble of VGG16 (RNFL) and VGG16 (GCIPL),n/r,n/r,n/r,n/r,internal,Expert ophthalmologist diagnosis of POAG (SDP + red-free RNFL photography + gonioscopy + HVF),n/r,eye,OCT,RNFL + GCIPL
Kanwar (2026),2026,Energy Mask R-CNN + CC-LSTM (proposed),Energy Mask R-CNN (ResNet-50 + FPN backbone) for OD/OC segmentation; Cyclic Code-based LSTM for classification,n/r,n/r,n/r,n/r,internal,"Expert-annotated dataset ground truth (ORIGA, REFUGE, G1020)",n/r,image,fundus,ONH (optic disc and optic cup)
Hernandez (2026),2026,SpxViT_fix,Superpixel-based Vision Transformer (ViT-B/16 backbone) with SLIC fixed compactness=8 tokenization,n/r,n/r,n/r,n/r,internal,"Ophthalmology specialist diagnosis (CDR >0.7, IOP, VF, ONH structural criteria)",n/r,image,fundus,ONH
Hernandez (2026),2026,SpxViT_var,Superpixel-based Vision Transformer (ViT-B/16 backbone) with SLIC variable compactness tokenization (196 superpixels/image),n/r,n/r,n/r,n/r,internal,"Ophthalmology specialist diagnosis (CDR >0.7, IOP, VF, ONH structural criteria)",n/r,image,fundus,ONH
Hernandez (2026),2026,ViT-B/16,"Vision Transformer B/16 (12-layer encoder, 768 embedding dim, 12 heads, 16x16 patch tokens)",n/r,n/r,n/r,n/r,internal,"Ophthalmology specialist diagnosis (CDR >0.7, IOP, VF, ONH structural criteria)",n/r,image,fundus,ONH
Hernandez (2026),2026,SPiT,"Superpixel-based Patch-in Transformer (modular superpixel tokenization, 384x384 input)",n/r,n/r,n/r,n/r,internal,"Ophthalmology specialist diagnosis (CDR >0.7, IOP, VF, ONH structural criteria)",n/r,image,fundus,ONH
Sanghavi (2024),2024,Proposed CNN,13-layer CNN (custom) with SLIC + normalized graph cut OD segmentation,n/r,n/r,n/r,n/r,internal,n/r,n/r,image,fundus,ONH
Sanghavi (2024),2024,VGG19,"VGG19 (ImageNet pretrained, fine-tuned)",n/r,n/r,n/r,n/r,internal,n/r,n/r,image,fundus,ONH
Sanghavi (2024),2024,InceptionV3,"InceptionV3 (ImageNet pretrained, fine-tuned)",n/r,n/r,n/r,n/r,internal,n/r,n/r,image,fundus,ONH
Sanghavi (2024),2024,ResNet50V2,"ResNet50V2 (ImageNet pretrained, fine-tuned)",n/r,n/r,n/r,n/r,internal,n/r,n/r,image,fundus,ONH
Kim (2020),2020,VGG-19 RNFL thickness map (internal validation),VGG-19,n/r,n/r,n/r,n/r,internal,Consensus diagnosis by two experienced glaucoma specialists based on disc/RNFL photographs and visual field tests,Sensitivity 97.8% at 90% specificity,eye,"SD-OCT (Cirrus, Carl Zeiss Meditec)",RNFL (peripapillary/ONH)
Kim (2020),2020,VGG-19 RNFL thickness map (external validation),VGG-19,n/r,n/r,n/r,n/r,external,Consensus diagnosis by two experienced glaucoma specialists based on disc/RNFL photographs and visual field tests,n/r,eye,"SD-OCT (Cirrus, Carl Zeiss Meditec)",RNFL (peripapillary/ONH)
Kim (2020),2020,Glaucoma specialists (RNFL thickness map reading),n/r,2,n/r,n/r,n/r,internal,Consensus diagnosis by two experienced glaucoma specialists based on disc/RNFL photographs and visual field tests,Sensitivities 96.9% and 97.5%; specificities 88.5% and 93.3%,eye,"SD-OCT (Cirrus, Carl Zeiss Meditec)",RNFL (peripapillary/ONH)
Zheng (2020),2020,Deep learning model,"Inception-V3 (159 layers, transfer learning, fine-tuned)",n/r,n/r,n/r,n/r,internal,Glaucomatous ONH appearance on color fundus photographs ± VF defects,n/r,image,SD-OCT (Topcon 3D OCT-2000),pRNFL
Zheng (2020),2020,Hand-crafted feature: average pRNFL thickness,ASAP (ImageJ plug-in) automated segmentation + statistical classifier,n/r,n/r,n/r,n/r,internal,Glaucomatous ONH appearance on color fundus photographs ± VF defects,n/r,image,SD-OCT (Topcon 3D OCT-2000),pRNFL (360° average)
Zheng (2020),2020,Hand-crafted feature: inferior sector pRNFL,ASAP (ImageJ plug-in) automated segmentation + statistical classifier,n/r,n/r,n/r,n/r,internal,Glaucomatous ONH appearance on color fundus photographs ± VF defects,n/r,image,SD-OCT (Topcon 3D OCT-2000),"pRNFL (inferior sector, 225°–315°)"
Zheng (2020),2020,Hand-crafted feature: superior sector pRNFL,ASAP (ImageJ plug-in) automated segmentation + statistical classifier,n/r,n/r,n/r,n/r,internal,Glaucomatous ONH appearance on color fundus photographs ± VF defects,n/r,image,SD-OCT (Topcon 3D OCT-2000),"pRNFL (superior sector, 45°–135°)"
Zheng (2020),2020,Hand-crafted feature: nasal sector pRNFL,ASAP (ImageJ plug-in) automated segmentation + statistical classifier,n/r,n/r,n/r,n/r,internal,Glaucomatous ONH appearance on color fundus photographs ± VF defects,n/r,image,SD-OCT (Topcon 3D OCT-2000),"pRNFL (nasal sector, 135°–225°)"
Zheng (2020),2020,Hand-crafted feature: temporal sector pRNFL,ASAP (ImageJ plug-in) automated segmentation + statistical classifier,n/r,n/r,n/r,n/r,internal,Glaucomatous ONH appearance on color fundus photographs ± VF defects,n/r,image,SD-OCT (Topcon 3D OCT-2000),"pRNFL (temporal sector, 315°–45°)"
Chaurasia (2025),2025,vgg19_bn — internal validation,"VGG19 with batch normalisation (ImageNet pre-trained, fine-tuned 15 epochs, one-cycle policy, weighted cross-entropy)",n/r,n/r,n/r,n/r,internal,dataset-provided ground-truth labels (mixed: clinical examination for ACRIMA/REFUGE1/LAG/KEH/PAPILA; fundus-image-based for others),n/r,image,fundus,"ONH (optic nerve head disc, cropped and resized to 224×224)"
Chaurasia (2025),2025,vgg19_bn — external validation (Drishti-GS),"VGG19 with batch normalisation (ImageNet pre-trained, fine-tuned 15 epochs, one-cycle policy, weighted cross-entropy)",4,3-20,n/r,n/r,external,consensus of 4 experts (3-20 years clinical experience) on Drishti-GS1 dataset,n/r,image,fundus,ONH (optic nerve head disc)
Ko (2022),2022,TVGH (core) model on TVGH test set,EfficientNet B3,n/r,n/r,n/r,n/r,internal,"Expert consensus (two experts) using ONH changes, Humphrey 24-2 VF defects, Cirrus HD-OCT RNFL",Softmax binary output; ensemble SVM invoked when CNN confidence <0.85,image,fundus,ONH and peripapillary RNFL (macula-centered 30° image)
Ko (2022),2022,TVGH (core) model on DRISHTI-GS1 test set,EfficientNet B3,n/r,n/r,n/r,n/r,external,Majority opinion of experts (DRISHTI-GS1),n/r,image,fundus,ONH (disc-centered 30°)
Ko (2022),2022,TVGH (core) model on RIM-ONE r2 test set,EfficientNet B3,n/r,n/r,n/r,n/r,external,Majority opinion of experts (RIM-ONE r2),n/r,image,fundus,ONH (pre-cropped disc-centered)
Ko (2022),2022,TVGH (core) model on CHGH test set,EfficientNet B3,n/r,n/r,n/r,n/r,external,"Consensus of two experts (YK, TH) using detailed clinical information",n/r,image,fundus,macula-centered 30° (ONH visible)
Ko (2022),2022,DRISHTI-GS1-specific (fine-tuned) model on DRISHTI-GS1,EfficientNet B3 (fine-tuned from TVGH model),n/r,n/r,n/r,n/r,external,Majority expert opinion (DRISHTI-GS1),n/r,image,fundus,ONH (disc-centered)
Ko (2022),2022,RIM-ONE r2-specific (fine-tuned) model on RIM-ONE r2,EfficientNet B3 (fine-tuned from TVGH model),n/r,n/r,n/r,n/r,external,Majority expert opinion (RIM-ONE r2),n/r,image,fundus,ONH (cropped disc-centered)
Ko (2022),2022,CHGH-specific (fine-tuned) model on CHGH,EfficientNet B3 (fine-tuned from TVGH model),n/r,n/r,n/r,n/r,external,"Consensus of two experts (YK, TH) with full clinical information",n/r,image,fundus,macula-centered 30°
Ko (2022),2022,Integrated model on TVGH,EfficientNet B3 (trained on all four datasets combined),n/r,n/r,n/r,n/r,internal,Two-expert consensus with VF and OCT,n/r,image,fundus,ONH / macula-centered
Ko (2022),2022,Integrated model on DRISHTI-GS1,EfficientNet B3 (combined training),n/r,n/r,n/r,n/r,external,Majority expert opinion (DRISHTI-GS1),n/r,image,fundus,ONH (disc-centered)
Ko (2022),2022,Integrated model on RIM-ONE r2,EfficientNet B3 (combined training),n/r,n/r,n/r,n/r,external,Majority expert opinion (RIM-ONE r2),n/r,image,fundus,ONH (cropped disc-centered)
Ko (2022),2022,Integrated model on CHGH,EfficientNet B3 (combined training),n/r,n/r,n/r,n/r,external,Two-expert consensus with full clinical information,n/r,image,fundus,macula-centered 30°
Kulkarni (2025),2025,Proposed OGFA+CNN,OGFA + Cumulative Convolution + Hierarchical CNN (HCNN),n/r,n/r,n/r,n/r,internal,n/r,n/r,image,fundus,full retina
Kulkarni (2025),2025,CNN baseline,Standard CNN,n/r,n/r,n/r,n/r,internal,n/r,n/r,image,fundus,full retina
Kulkarni (2025),2025,LSTM,Long Short-Term Memory network,n/r,n/r,n/r,n/r,internal,n/r,n/r,image,fundus,full retina
Kulkarni (2025),2025,Ensemble CNN,Ensemble of CNN models,n/r,n/r,n/r,n/r,internal,n/r,n/r,image,fundus,full retina
Kulkarni (2025),2025,OGFA only,Optimized Graph Filter Augmentation,n/r,n/r,n/r,n/r,internal,n/r,n/r,image,fundus,full retina
Lau (2025),2025,DLM (Hood-report ResNet-50),"ResNet-50 (ImageNet-pretrained, fine-tuned; 512x512 input; cross-entropy, cosine LR, 200 epochs, weighted resampling; ensemble of 5 random initializations)",n/r,n/r,n/r,n/r,external,"Clear-G: clinician diagnosis using OCT + 24-2 visual field + fundus photos + clinical exam (Illinois College of Optometry); Pattern ON-G: OCT reading center (two OCT experts, Hood report); H-test: Topcon Maestro commercial normative database (visual fields, fundus photos, history, clinical exam)",DLM Index >=25 (yields 99.5% specificity on 396 H-test eyes); secondary cutoff DLM Index >=50,eye,OCT,"wide-field 12x9 mm Hood report (ONH + macula, including cpRNFL and GCL+ probability/thickness maps)"
El-Nimri (2023),2023,RNFLT — Global <5th percentile,Spectralis GMPE reference database classification (RNFL circumpapillary circle scan),n/r,n/r,n/r,n/r,internal,"Glaucomatous VF damage (Humphrey 24-2 SITA, PSD outside 95% or GHT outside 99% normal limits)",<5th percentile of reference database,eye,OCT (Spectralis SD-OCT),ONH / RNFL (12° 3.5 mm circle scan)
El-Nimri (2023),2023,RNFLT — Global <1st percentile,Spectralis GMPE reference database classification,n/r,n/r,n/r,n/r,internal,Glaucomatous VF damage (Humphrey 24-2 SITA),<1st percentile,eye,OCT (Spectralis SD-OCT),ONH / RNFL
El-Nimri (2023),2023,RNFLT — ≥1 sector <5th percentile,Spectralis GMPE reference database classification,n/r,n/r,n/r,n/r,internal,Glaucomatous VF damage (Humphrey 24-2 SITA),≥1 of 6 sectors <5th percentile,eye,OCT (Spectralis SD-OCT),"ONH / RNFL (ST, SN, N, IN, IT, T sectors)"
El-Nimri (2023),2023,RNFLT — ≥1 sector <1st percentile,Spectralis GMPE reference database classification,n/r,n/r,n/r,n/r,internal,Glaucomatous VF damage (Humphrey 24-2 SITA),≥1 of 6 sectors <1st percentile,eye,OCT (Spectralis SD-OCT),ONH / RNFL
El-Nimri (2023),2023,RNFLT — ST and/or IT <5th percentile,Spectralis GMPE reference database classification,n/r,n/r,n/r,n/r,internal,Glaucomatous VF damage (Humphrey 24-2 SITA),ST and/or IT <5th percentile,eye,OCT (Spectralis SD-OCT),"ONH / RNFL (ST, IT sectors)"
El-Nimri (2023),2023,RNFLT — ST and/or IT <1st percentile,Spectralis GMPE reference database classification,n/r,n/r,n/r,n/r,internal,Glaucomatous VF damage (Humphrey 24-2 SITA),ST and/or IT <1st percentile,eye,OCT (Spectralis SD-OCT),"ONH / RNFL (ST, IT sectors)"
El-Nimri (2023),2023,BMO-MRW — Global <5th percentile,Spectralis GMPE reference database classification (ONH 24-radial B-scan),n/r,n/r,n/r,n/r,internal,Glaucomatous VF damage (Humphrey 24-2 SITA),<5th percentile,eye,OCT (Spectralis SD-OCT),ONH (neuroretinal rim)
El-Nimri (2023),2023,BMO-MRW — Global <1st percentile,Spectralis GMPE reference database classification,n/r,n/r,n/r,n/r,internal,Glaucomatous VF damage (Humphrey 24-2 SITA),<1st percentile,eye,OCT (Spectralis SD-OCT),ONH (neuroretinal rim)
El-Nimri (2023),2023,BMO-MRW — ≥1 sector <5th percentile,Spectralis GMPE reference database classification,n/r,n/r,n/r,n/r,internal,Glaucomatous VF damage (Humphrey 24-2 SITA),≥1 of 6 sectors <5th percentile,eye,OCT (Spectralis SD-OCT),"ONH (neuroretinal rim, 6 sectors)"
El-Nimri (2023),2023,BMO-MRW — ≥1 sector <1st percentile,Spectralis GMPE reference database classification,n/r,n/r,n/r,n/r,internal,Glaucomatous VF damage (Humphrey 24-2 SITA),≥1 of 6 sectors <1st percentile,eye,OCT (Spectralis SD-OCT),ONH (neuroretinal rim)
El-Nimri (2023),2023,BMO-MRW — ST and/or IT <5th percentile,Spectralis GMPE reference database classification,n/r,n/r,n/r,n/r,internal,Glaucomatous VF damage (Humphrey 24-2 SITA),ST and/or IT <5th percentile,eye,OCT (Spectralis SD-OCT),"ONH (ST, IT sectors)"
El-Nimri (2023),2023,BMO-MRW — ST and/or IT <1st percentile,Spectralis GMPE reference database classification,n/r,n/r,n/r,n/r,internal,Glaucomatous VF damage (Humphrey 24-2 SITA),ST and/or IT <1st percentile,eye,OCT (Spectralis SD-OCT),"ONH (ST, IT sectors)"
El-Nimri (2023),2023,Combined RNFLT or BMO-MRW — ST and/or IT <5th percentile,Spectralis GMPE reference database classification (logical OR of RNFLT and BMO-MRW),n/r,n/r,n/r,n/r,internal,Glaucomatous VF damage (Humphrey 24-2 SITA),Either RNFLT or BMO-MRW ST/IT <5th percentile,eye,OCT (Spectralis SD-OCT),ONH / RNFL
Qiu (2025),2025,Multidimensional imaging model (fundus + RNFL/GCIPL deviation + thickness maps),"Ensemble (Swin Transformer base, Inception ResNet V2, Inception V3, Xception) with back-end mean fusion",n/r,n/r,n/r,n/r,internal,Composite (fundus + OCT + SAP + medical history),Maximum of Youden index,eye,multimodal (fundus + OCT),ONH + macula (optic disc cube 200x200; macula cube 512x128) + 45° macula-centred fundus
Qiu (2025),2025,Fundus photographs model,"Ensemble (Swin base, Inception ResNet V2, Inception V3, Xception)",n/r,n/r,n/r,n/r,internal,Composite (fundus + OCT + SAP + medical history),Maximum of Youden index,eye,fundus,macula-centred 45° fundus (Topcon TRC-50DX)
Qiu (2025),2025,RNFL and GCIPL deviation maps model,"Ensemble (Swin base, Inception ResNet V2, Inception V3, Xception)",n/r,n/r,n/r,n/r,internal,Composite (fundus + OCT + SAP + medical history),Maximum of Youden index,eye,OCT,ONH + macula (Cirrus HD-OCT RNFL + GCIPL deviation maps)
Qiu (2025),2025,RNFL and GCIPL thickness maps model,"Ensemble (Swin base, Inception ResNet V2, Inception V3, Xception)",n/r,n/r,n/r,n/r,internal,Composite (fundus + OCT + SAP + medical history),Maximum of Youden index,eye,OCT,ONH + macula (Cirrus HD-OCT RNFL + GCIPL thickness maps)
Qiu (2025),2025,Attending ophthalmologist 1,Human reader (attending ophthalmologist),1,≥5,n/r,n/r,internal,Composite (fundus + OCT + SAP + medical history),binary label (glaucomatous vs non-glaucomatous),eye,multimodal (fundus + OCT),ONH + macula + fundus
Qiu (2025),2025,Attending ophthalmologist 2,Human reader (attending ophthalmologist),1,≥5,n/r,n/r,internal,Composite (fundus + OCT + SAP + medical history),binary label (glaucomatous vs non-glaucomatous),eye,multimodal (fundus + OCT),ONH + macula + fundus
Qiu (2025),2025,Resident ophthalmologist,Human reader (resident ophthalmologist),1,1-3,n/r,n/r,internal,Composite (fundus + OCT + SAP + medical history),binary label (glaucomatous vs non-glaucomatous),eye,multimodal (fundus + OCT),ONH + macula + fundus
Shibata (2018),2018,ResNet (deep residual learning),ResNet with 18 convolutional layers,n/r,n/r,n/r,n/r,external,"Consensus of three glaucoma specialists using fundus photographs + SD-OCT (cpRNFLT, mIRT)",Sensitivity reported at specificity = 95%,eye,fundus,"ONH (optic disc, 64x64 px crop via Hough transform)"
Shibata (2018),2018,CNN (VGG16-like),"CNN with 16 layers, similar to VGG16",n/r,n/r,n/r,n/r,external,"Consensus of three glaucoma specialists using fundus photographs + SD-OCT (cpRNFLT, mIRT)",Sensitivity reported at specificity = 95%,eye,fundus,ONH (optic disc crop)
Shibata (2018),2018,Support Vector Machine,"SVM with Radial Basis Function kernel, penalty parameter = 1.0",n/r,n/r,n/r,n/r,external,"Consensus of three glaucoma specialists using fundus photographs + SD-OCT (cpRNFLT, mIRT)",Sensitivity reported at specificity = 95%,eye,fundus,ONH (optic disc crop)
Shibata (2018),2018,Random Forest,"Random Forest (10,000 trees, Gini index, min split=2, min leaf=1)",n/r,n/r,n/r,n/r,external,"Consensus of three glaucoma specialists using fundus photographs + SD-OCT (cpRNFLT, mIRT)",Sensitivity reported at specificity = 95%,eye,fundus,ONH (optic disc crop)
Shibata (2018),2018,Resident in Ophthalmology A,n/r,1,1,n/r,n/r,external,"Consensus of three glaucoma specialists using fundus photographs + SD-OCT (cpRNFLT, mIRT)",n/r,eye,fundus,ONH
Shibata (2018),2018,Resident in Ophthalmology B,n/r,1,3,n/r,n/r,external,"Consensus of three glaucoma specialists using fundus photographs + SD-OCT (cpRNFLT, mIRT)",n/r,eye,fundus,ONH
Shibata (2018),2018,Resident in Ophthalmology C,n/r,1,4,n/r,n/r,external,"Consensus of three glaucoma specialists using fundus photographs + SD-OCT (cpRNFLT, mIRT)",n/r,eye,fundus,ONH
Rogers (2019),2019,Pegasus AI,ResNet-50 CNN,n/r,n/r,n/r,n/r,external,Glaucoma specialist diagnosis based on optic disc appearance and reproducible visual field defects,n/r,eye,"fundus (stereoscopic optic disc photographs, 15° FoV, scanned)",ONH
Rogers (2019),2019,Ophthalmologists (mean),n/r,243,n/r,n/r,n/r,external,Glaucoma specialist diagnosis based on optic disc appearance and reproducible visual field defects,n/r,eye,fundus (stereoscopic optic disc slides via stereo viewer),ONH
Rogers (2019),2019,Optometrists (median),n/r,208,n/r,n/r,n/r,external,Glaucoma specialist diagnosis based on optic disc appearance and reproducible visual field defects,n/r,eye,fundus (stereoscopic optic disc slides via stereo viewer),ONH
Wang (2020),2020,2D-ResNet-SEMT (proposed),ResNet18 backbone with semi-supervised multi-task learning (classification + VFI/MD/PSD regression); Manhattan-distance surrogate label assignment,n/r,n/r,n/r,n/r,internal,Two-specialist consensus (with senior adjudicator) using OCT + VF + clinical records,n/r,image,"Spectral-domain OCT (Cirrus HD-OCT, Carl Zeiss Meditec)",ONH (optic disc)
Wang (2020),2020,2D-ResNet-SEMT (proposed) — external,ResNet18 backbone with semi-supervised multi-task learning (no fine-tuning on Stanford),n/r,n/r,n/r,n/r,external,Local clinical glaucoma labels (Stanford dataset),n/r,image,"Spectral-domain OCT (Cirrus HD-OCT, Carl Zeiss Meditec)",ONH (optic disc)
Wang (2020),2020,Glaucoma Expert 1,"Human reader (independent review of OCT printouts, masked to clinical notes)",1,n/r,n/r,n/r,internal,Two-specialist consensus (with senior adjudicator) using OCT + VF + clinical records,n/r,image,Spectral-domain OCT (Cirrus HD-OCT) printouts,ONH (optic disc)
Wang (2020),2020,Glaucoma Expert 2,"Human reader (independent review of OCT printouts, masked to clinical notes)",1,n/r,n/r,n/r,internal,Two-specialist consensus (with senior adjudicator) using OCT + VF + clinical records,n/r,image,Spectral-domain OCT (Cirrus HD-OCT) printouts,ONH (optic disc)
Li (2022),2022,AI screening algorithm (GCS module),"DenseNet-121 with bilinear pooling (512x512 input, ordinal regression)",n/r,n/r,n/r,n/r,external,Two IRC ophthalmologists with senior adjudication,n/r,eye,fundus,ONH
Li (2022),2022,Grader 1 (junior ophthalmologist),n/r,1,6,n/r,n/r,external,Arbitrated IRC ground truth,n/r,eye,fundus,ONH
Li (2022),2022,Grader 2 (senior ophthalmologist),n/r,1,10,n/r,n/r,external,Arbitrated IRC ground truth,n/r,eye,fundus,ONH
Li (2021),2021,InceptionResNetV2 (CMAAI internal test),InceptionResNetV2,n/r,n/r,n/r,n/r,internal,Consensus of 3 glaucoma specialists (5/7/8 yrs); senior specialist (>20 yrs) arbitration,n/r,image,"ultra-wide field fundus (Optos Daytona, 200°)",ONH
Li (2021),2021,InceptionResNetV2 (ZOC external),InceptionResNetV2,n/r,n/r,n/r,n/r,external,Consensus of 3 glaucoma specialists (5/7/8 yrs); senior specialist (>20 yrs) arbitration,n/r,image,"ultra-wide field fundus (Optos 200TX, 200°)",ONH
Li (2021),2021,InceptionResNetV2 (XOH external),InceptionResNetV2,n/r,n/r,n/r,n/r,external,Consensus of 3 glaucoma specialists (5/7/8 yrs); senior specialist (>20 yrs) arbitration,n/r,image,"ultra-wide field fundus (Optos Daytona, 200°)",ONH
Li (2021),2021,InceptionResNetV2 (TOPP external),InceptionResNetV2,n/r,n/r,n/r,n/r,external,Consensus of 3 glaucoma specialists (5/7/8 yrs); senior specialist (>20 yrs) arbitration,n/r,image,"ultra-wide field fundus (Optos 200TX, 200°)",ONH
Li (2021),2021,"Ophthalmologist (6 yrs UWF experience, ZOC)",human reader (no AI),1,6,n/r,n/r,external,Consensus of 3 glaucoma specialists (5/7/8 yrs); senior specialist (>20 yrs) arbitration,n/r,image,"ultra-wide field fundus (Optos 200TX, 200°)",ONH
