Study,Year,PDF link,PDF path,Arm / test,TP,FN,FP,TN,N positive,N negative,Sensitivity,Specificity,AUC (raw),Unit,Modality,Reference standard,Region,Validation type,Design (prospective),Vendor involvement,Glaucoma target,Glaucoma superclass,Age (glaucoma),Prevalence,AI algorithm,Threshold,Source sheet,Sens_pt,Sens_lo,Sens_hi,Spec_pt,Spec_lo,Spec_hi,N_pos_calc,N_neg_calc,decade,size_tier,region_simple,validation_simple,ref_std_category,rob_overall,ai_class
Krishnaadithya (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Krishnaadithya (2021).pdf,04_fulltext/pdfs/Krishnaadithya (2021).pdf,"EffUnet-SpaGen (full: CDR profile 24, 2 variance parameters + CDAR, 15 params) — DRISHTI-B",36,2,1,12,38,13,0.947,0.923,0.969,image,fundus,manual annotation by ophthalmologist with best-fitting ellipse and grader consensus,Asia,both,retrospective,no,confirmed,any,n/r,n/r,"EffUnet-SpaGen (full: CDR profile 24, 2 variance parameters + CDAR, 15 params) — DRISHTI-B",n/r,claude_opus_v4,0.9474,0.8271,0.9854,0.9231,0.6669,0.9863,38,13,2020-24,small,Asia,internal,expert_clinical,unclear,deep learning
Shehryar (2020),2020,projects/glaucoma-dl-dta-nma/pdfs/Shehryar (2020).pdf,04_fulltext/pdfs/Shehryar (2020).pdf,HSF (hybrid structural features) fundus module — AFIO local dataset,24,4,8,14,28,22,0.86,0.64,n/r,image,multimodal,AFIO ground-truth labels/clinical diagnosis annotated and validated by four ophthalmologists,Asia,both,cross-sectional,no,any glaucoma,any,n/r,n/r,HSF (hybrid structural features) fundus module — AFIO local dataset,n/r,claude_opus_v4,0.8571,0.6851,0.9430,0.6364,0.4295,0.8027,28,22,2020-24,small,Asia,internal,expert_clinical,unclear,classical ML
Shehryar (2020),2020,projects/glaucoma-dl-dta-nma/pdfs/Shehryar (2020).pdf,04_fulltext/pdfs/Shehryar (2020).pdf,HTF (hybrid textural features) fundus module — AFIO local dataset,24,4,4,18,28,22,0.86,0.82,n/r,image,multimodal,AFIO ground-truth labels/clinical diagnosis annotated and validated by four ophthalmologists,Asia,both,cross-sectional,no,any glaucoma,any,n/r,n/r,HTF (hybrid textural features) fundus module — AFIO local dataset,n/r,claude_opus_v4,0.8571,0.6851,0.9430,0.8182,0.6148,0.9269,28,22,2020-24,small,Asia,internal,expert_clinical,unclear,classical ML
Shehryar (2020),2020,projects/glaucoma-dl-dta-nma/pdfs/Shehryar (2020).pdf,04_fulltext/pdfs/Shehryar (2020).pdf,"OCT module (SD-OCT, CDR-based) — AFIO local dataset",26,2,1,21,28,22,0.93,0.95,n/r,image,multimodal,AFIO ground-truth labels/clinical diagnosis annotated and validated by four ophthalmologists,Asia,both,cross-sectional,no,any glaucoma,any,n/r,n/r,"OCT module (SD-OCT, CDR-based) — AFIO local dataset",n/r,claude_opus_v4,0.9286,0.7735,0.9802,0.9545,0.7820,0.9919,28,22,2020-24,small,Asia,internal,expert_clinical,unclear,rule-based (percentile/CDR)
Shehryar (2020),2020,projects/glaucoma-dl-dta-nma/pdfs/Shehryar (2020).pdf,04_fulltext/pdfs/Shehryar (2020).pdf,H-CAD hybrid system (fundus + SD-OCT fusion) — AFIO local dataset,28,0,2,20,28,22,1.00,0.91,n/r,image,multimodal,AFIO ground-truth labels/clinical diagnosis annotated and validated by four ophthalmologists,Asia,both,cross-sectional,no,any glaucoma,any,n/r,n/r,H-CAD hybrid system (fundus + SD-OCT fusion) — AFIO local dataset,n/r,claude_opus_v4,1.0000,0.8794,1.0000,0.9091,0.7219,0.9747,28,22,2020-24,small,Asia,internal,expert_clinical,unclear,classical ML
Shehryar (2020),2020,projects/glaucoma-dl-dta-nma/pdfs/Shehryar (2020).pdf,04_fulltext/pdfs/Shehryar (2020).pdf,"Proposed structural fundus module — LD-50 (MESSIDOR/HEI-MED/DRIVE/STARE/DiaRetDB0 composite, 2-fold CV)",24,1,2,23,25,25,0.96,0.92,n/r,image,multimodal,AFIO ground-truth labels/clinical diagnosis annotated and validated by four ophthalmologists,Asia,both,cross-sectional,no,any glaucoma,any,n/r,n/r,"Proposed structural fundus module — LD-50 (MESSIDOR/HEI-MED/DRIVE/STARE/DiaRetDB0 composite, 2-fold CV)",n/r,claude_opus_v4,0.9600,0.8046,0.9929,0.9200,0.7503,0.9778,25,25,2020-24,small,Asia,internal,expert_clinical,unclear,classical ML
Shehryar (2020),2020,projects/glaucoma-dl-dta-nma/pdfs/Shehryar (2020).pdf,04_fulltext/pdfs/Shehryar (2020).pdf,Proposed textural fundus module — LD-50 (2-fold CV),23,2,2,23,25,25,0.92,0.92,n/r,image,multimodal,AFIO ground-truth labels/clinical diagnosis annotated and validated by four ophthalmologists,Asia,both,cross-sectional,no,any glaucoma,any,n/r,n/r,Proposed textural fundus module — LD-50 (2-fold CV),n/r,claude_opus_v4,0.9200,0.7503,0.9778,0.9200,0.7503,0.9778,25,25,2020-24,small,Asia,internal,expert_clinical,unclear,classical ML
Shehryar (2020),2020,projects/glaucoma-dl-dta-nma/pdfs/Shehryar (2020).pdf,04_fulltext/pdfs/Shehryar (2020).pdf,Proposed fundus module combined (structural+textural) — LD-50 (2-fold CV),25,0,3,22,25,25,1.00,0.89,n/r,image,multimodal,AFIO ground-truth labels/clinical diagnosis annotated and validated by four ophthalmologists,Asia,both,cross-sectional,no,any glaucoma,any,n/r,n/r,Proposed fundus module combined (structural+textural) — LD-50 (2-fold CV),n/r,claude_opus_v4,1.0000,0.8668,1.0000,0.8800,0.7004,0.9583,25,25,2020-24,small,Asia,internal,expert_clinical,unclear,classical ML
Shehryar (2020),2020,projects/glaucoma-dl-dta-nma/pdfs/Shehryar (2020).pdf,04_fulltext/pdfs/Shehryar (2020).pdf,Proposed structural fundus module — HRF dataset (60:40 split),37,13,1,14,50,15,0.73,0.93,n/r,image,multimodal,AFIO ground-truth labels/clinical diagnosis annotated and validated by four ophthalmologists,Asia,both,cross-sectional,no,any glaucoma,any,n/r,n/r,Proposed structural fundus module — HRF dataset (60:40 split),n/r,claude_opus_v4,0.7400,0.6045,0.8413,0.9333,0.7018,0.9881,50,15,2020-24,small,Asia,internal,expert_clinical,unclear,classical ML
Shehryar (2020),2020,projects/glaucoma-dl-dta-nma/pdfs/Shehryar (2020).pdf,04_fulltext/pdfs/Shehryar (2020).pdf,Proposed textural fundus module — HRF dataset (60:40 split),47,3,2,13,50,15,0.93,0.86,n/r,image,multimodal,AFIO ground-truth labels/clinical diagnosis annotated and validated by four ophthalmologists,Asia,both,cross-sectional,no,any glaucoma,any,n/r,n/r,Proposed textural fundus module — HRF dataset (60:40 split),n/r,claude_opus_v4,0.9400,0.8378,0.9794,0.8667,0.6212,0.9626,50,15,2020-24,small,Asia,internal,expert_clinical,unclear,classical ML
Shehryar (2020),2020,projects/glaucoma-dl-dta-nma/pdfs/Shehryar (2020).pdf,04_fulltext/pdfs/Shehryar (2020).pdf,Proposed fundus module combined — HRF dataset (60:40 split),50,0,2,13,50,15,1.00,0.86,n/r,image,multimodal,AFIO ground-truth labels/clinical diagnosis annotated and validated by four ophthalmologists,Asia,both,cross-sectional,no,any glaucoma,any,n/r,n/r,Proposed fundus module combined — HRF dataset (60:40 split),n/r,claude_opus_v4,1.0000,0.9287,1.0000,0.8667,0.6212,0.9626,50,15,2020-24,small,Asia,internal,expert_clinical,unclear,classical ML
Shehryar (2020),2020,projects/glaucoma-dl-dta-nma/pdfs/Shehryar (2020).pdf,04_fulltext/pdfs/Shehryar (2020).pdf,"Proposed structural fundus module — RIM-ONE (455 images, 2-fold CV)",181,74,42,158,255,200,0.71,0.79,n/r,image,multimodal,AFIO ground-truth labels/clinical diagnosis annotated and validated by four ophthalmologists,Asia,both,cross-sectional,no,any glaucoma,any,n/r,n/r,"Proposed structural fundus module — RIM-ONE (455 images, 2-fold CV)",n/r,claude_opus_v4,0.7098,0.6513,0.7621,0.7900,0.7284,0.8407,255,200,2020-24,medium,Asia,internal,expert_clinical,unclear,classical ML
Shehryar (2020),2020,projects/glaucoma-dl-dta-nma/pdfs/Shehryar (2020).pdf,04_fulltext/pdfs/Shehryar (2020).pdf,"Proposed textural fundus module — RIM-ONE (455 images, 2-fold CV)",207,48,20,180,255,200,0.81,0.90,n/r,image,multimodal,AFIO ground-truth labels/clinical diagnosis annotated and validated by four ophthalmologists,Asia,both,cross-sectional,no,any glaucoma,any,n/r,n/r,"Proposed textural fundus module — RIM-ONE (455 images, 2-fold CV)",n/r,claude_opus_v4,0.8118,0.7593,0.8550,0.9000,0.8506,0.9343,255,200,2020-24,medium,Asia,internal,expert_clinical,unclear,classical ML
Shehryar (2020),2020,projects/glaucoma-dl-dta-nma/pdfs/Shehryar (2020).pdf,04_fulltext/pdfs/Shehryar (2020).pdf,"Proposed fundus module combined — RIM-ONE (455 images, 2-fold CV)",232,23,40,160,255,200,0.91,0.80,n/r,image,multimodal,AFIO ground-truth labels/clinical diagnosis annotated and validated by four ophthalmologists,Asia,both,cross-sectional,no,any glaucoma,any,n/r,n/r,"Proposed fundus module combined — RIM-ONE (455 images, 2-fold CV)",n/r,claude_opus_v4,0.9098,0.8683,0.9391,0.8000,0.7391,0.8495,255,200,2020-24,medium,Asia,internal,expert_clinical,unclear,classical ML
Shehryar (2020),2020,projects/glaucoma-dl-dta-nma/pdfs/Shehryar (2020).pdf,04_fulltext/pdfs/Shehryar (2020).pdf,H-CAD system vs Ophthalmologist 1 (junior) reference — AFIO clinical cohort,28,7,8,23,35,31,0.80,0.74,n/r,image,multimodal,AFIO ground-truth labels/clinical diagnosis annotated and validated by four ophthalmologists,Asia,both,cross-sectional,no,any glaucoma,any,n/r,n/r,H-CAD system vs Ophthalmologist 1 (junior) reference — AFIO clinical cohort,n/r,claude_opus_v4,0.8000,0.6411,0.8996,0.7419,0.5675,0.8630,35,31,2020-24,small,Asia,internal,expert_clinical,unclear,human reader
Shehryar (2020),2020,projects/glaucoma-dl-dta-nma/pdfs/Shehryar (2020).pdf,04_fulltext/pdfs/Shehryar (2020).pdf,H-CAD system vs Ophthalmologist 2 reference — AFIO clinical cohort,32,5,3,26,37,29,0.86,0.90,n/r,image,multimodal,AFIO ground-truth labels/clinical diagnosis annotated and validated by four ophthalmologists,Asia,both,cross-sectional,no,any glaucoma,any,n/r,n/r,H-CAD system vs Ophthalmologist 2 reference — AFIO clinical cohort,n/r,claude_opus_v4,0.8649,0.7202,0.9409,0.8966,0.7361,0.9642,37,29,2020-24,small,Asia,internal,expert_clinical,unclear,human reader
Shehryar (2020),2020,projects/glaucoma-dl-dta-nma/pdfs/Shehryar (2020).pdf,04_fulltext/pdfs/Shehryar (2020).pdf,H-CAD system vs Ophthalmologist 3 reference — AFIO clinical cohort,28,2,4,32,30,36,0.93,0.88,n/r,image,multimodal,AFIO ground-truth labels/clinical diagnosis annotated and validated by four ophthalmologists,Asia,both,cross-sectional,no,any glaucoma,any,n/r,n/r,H-CAD system vs Ophthalmologist 3 reference — AFIO clinical cohort,n/r,claude_opus_v4,0.9333,0.7868,0.9815,0.8889,0.7469,0.9559,30,36,2020-24,small,Asia,internal,expert_clinical,unclear,human reader
Shehryar (2020),2020,projects/glaucoma-dl-dta-nma/pdfs/Shehryar (2020).pdf,04_fulltext/pdfs/Shehryar (2020).pdf,H-CAD system vs Ophthalmologist 4 (senior) reference — AFIO clinical cohort,32,2,3,29,34,32,0.94,0.91,n/r,image,multimodal,AFIO ground-truth labels/clinical diagnosis annotated and validated by four ophthalmologists,Asia,both,cross-sectional,no,any glaucoma,any,n/r,n/r,H-CAD system vs Ophthalmologist 4 (senior) reference — AFIO clinical cohort,n/r,claude_opus_v4,0.9412,0.8091,0.9837,0.9062,0.7578,0.9676,34,32,2020-24,small,Asia,internal,expert_clinical,unclear,human reader
Sidhu (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Sidhu (2024).pdf,04_fulltext/pdfs/Sidhu (2024).pdf,ResNet50V2 (Lobe/Microsoft) — final test set,365,75,107,428,440,535,0.8295,0.80,n/r,image,fundus,single senior glaucoma specialist grading color fundus photographs as normal optic nerve head or glaucomatous optic neuropathy,Asia,internal,retrospective,no,glaucomatous optic neuropathy,any,n/r,n/r,ResNet50V2 (Lobe/Microsoft) — final test set,n/r,claude_opus_v4,0.8295,0.7916,0.8618,0.8000,0.7640,0.8317,440,535,2020-24,medium,Asia,internal,expert_clinical,unclear,deep learning
Shoukat (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Shoukat (2023).pdf,04_fulltext/pdfs/Shoukat (2023).pdf,ResNet-50 (G1020 dataset),294,2,25,699,296,724,0.993,0.9652,0.97,image,fundus,"Public dataset ground-truth glaucoma labels/annotations from G1020, DRISHTI-GS, RIM-ONE, and ORIGA",mixed,internal,retrospective,no,any,any,n/r,n/r,ResNet-50 (G1020 dataset),n/r,claude_opus_v4,0.9932,0.9757,0.9981,0.9655,0.9495,0.9765,296,724,2020-24,large,mixed,internal,dataset_label,unclear,deep learning
Shoukat (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Shoukat (2023).pdf,04_fulltext/pdfs/Shoukat (2023).pdf,ResNet-50 (RIM-ONE dataset),50,1,9,109,51,118,0.9785,0.9238,0.942,image,fundus,"Public dataset ground-truth glaucoma labels/annotations from G1020, DRISHTI-GS, RIM-ONE, and ORIGA",mixed,internal,retrospective,no,any,any,n/r,n/r,ResNet-50 (RIM-ONE dataset),n/r,claude_opus_v4,0.9804,0.8970,0.9965,0.9237,0.8614,0.9594,51,118,2020-24,small,mixed,internal,dataset_label,unclear,deep learning
Shoukat (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Shoukat (2023).pdf,04_fulltext/pdfs/Shoukat (2023).pdf,ResNet-50 (ORIGA dataset),165,3,100,382,168,482,0.9839,0.7926,0.93,image,fundus,"Public dataset ground-truth glaucoma labels/annotations from G1020, DRISHTI-GS, RIM-ONE, and ORIGA",mixed,internal,retrospective,no,any,any,n/r,n/r,ResNet-50 (ORIGA dataset),n/r,claude_opus_v4,0.9821,0.9488,0.9939,0.7925,0.7541,0.8263,168,482,2020-24,medium,mixed,internal,dataset_label,unclear,deep learning
Shoukat (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Shoukat (2023).pdf,04_fulltext/pdfs/Shoukat (2023).pdf,ResNet-50 (DRISHTI-GS dataset),66,4,0,31,70,31,0.9375,0.9855,0.96,image,fundus,"Public dataset ground-truth glaucoma labels/annotations from G1020, DRISHTI-GS, RIM-ONE, and ORIGA",mixed,internal,retrospective,no,any,any,n/r,n/r,ResNet-50 (DRISHTI-GS dataset),n/r,claude_opus_v4,0.9429,0.8621,0.9776,1.0000,0.8897,1.0000,70,31,2020-24,small,mixed,internal,dataset_label,unclear,deep learning
Song (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Song (2025).pdf,04_fulltext/pdfs/Song (2025).pdf,"Pre-Concatenated Model 1 (CNN, fundus images) — KCG Memorial Hospital test set",150,20,19,151,170,170,0.88,0.89,n/r,image,multimodal,"Humphrey Field Analyzer visual field mean defect (V-MD) values, with early/mild glaucoma defined as 0 to -6 dB",Asia,internal,retrospective,no,other,any,n/r,n/r,"Pre-Concatenated Model 1 (CNN, fundus images) — KCG Memorial Hospital test set",n/r,claude_opus_v4,0.8824,0.8253,0.9225,0.8882,0.8320,0.9273,170,170,2025+,medium,Asia,internal,other,unclear,deep learning
Song (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Song (2025).pdf,04_fulltext/pdfs/Song (2025).pdf,"Pre-Concatenated Model 2 (ANN, WA_MT + WA_RNFL thickness) — KCG Memorial Hospital test set",114,56,53,117,170,170,0.67,0.69,n/r,image,multimodal,"Humphrey Field Analyzer visual field mean defect (V-MD) values, with early/mild glaucoma defined as 0 to -6 dB",Asia,internal,retrospective,no,other,any,n/r,n/r,"Pre-Concatenated Model 2 (ANN, WA_MT + WA_RNFL thickness) — KCG Memorial Hospital test set",n/r,claude_opus_v4,0.6706,0.5969,0.7368,0.6882,0.6151,0.7531,170,170,2025+,medium,Asia,internal,other,unclear,deep learning
Song (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Song (2025).pdf,04_fulltext/pdfs/Song (2025).pdf,"Concatenated Model (CNN + ANN, fundus + retinal thickness) — KCG Memorial Hospital test set",155,15,10,160,170,170,0.91,0.94,n/r,image,multimodal,"Humphrey Field Analyzer visual field mean defect (V-MD) values, with early/mild glaucoma defined as 0 to -6 dB",Asia,internal,retrospective,no,other,any,n/r,n/r,"Concatenated Model (CNN + ANN, fundus + retinal thickness) — KCG Memorial Hospital test set",n/r,claude_opus_v4,0.9118,0.8595,0.9458,0.9412,0.8951,0.9677,170,170,2025+,medium,Asia,internal,other,unclear,deep learning
Gheisari (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Gheisari (2021).pdf,04_fulltext/pdfs/Gheisari (2021).pdf,VGG16 (age-matched subgroup),14,9,12,14,23,26,0.59,0.55,n/r,image,fundus,Clinical diagnosis by glaucoma specialist based on dilated stereoscopic ONH examination (structural features) with or without visual field defects on SAP (Humphrey 24-2 SITA-Standard); OCT used as adjunct,Oceania,internal,cross-sectional,no,any,any,n/r,n/r,VGG16 (age-matched subgroup),n/r,claude_opus_v4,0.6087,0.4079,0.7784,0.5385,0.3546,0.7124,23,26,2020-24,small,non-Asia,internal,expert_clinical,unclear,deep learning
Gheisari (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Gheisari (2021).pdf,04_fulltext/pdfs/Gheisari (2021).pdf,ResNet50 (age-matched subgroup),17,6,8,18,23,26,0.72,0.70,n/r,image,fundus,Clinical diagnosis by glaucoma specialist based on dilated stereoscopic ONH examination (structural features) with or without visual field defects on SAP (Humphrey 24-2 SITA-Standard); OCT used as adjunct,Oceania,internal,cross-sectional,no,any,any,n/r,n/r,ResNet50 (age-matched subgroup),n/r,claude_opus_v4,0.7391,0.5353,0.8745,0.6923,0.5001,0.8350,23,26,2020-24,small,non-Asia,internal,expert_clinical,unclear,deep learning
Gheisari (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Gheisari (2021).pdf,04_fulltext/pdfs/Gheisari (2021).pdf,VGG16 + LSTM (age-matched subgroup),22,1,4,22,23,26,0.94,0.86,n/r,image,fundus,Clinical diagnosis by glaucoma specialist based on dilated stereoscopic ONH examination (structural features) with or without visual field defects on SAP (Humphrey 24-2 SITA-Standard); OCT used as adjunct,Oceania,internal,cross-sectional,no,any,any,n/r,n/r,VGG16 + LSTM (age-matched subgroup),n/r,claude_opus_v4,0.9565,0.7901,0.9923,0.8462,0.6647,0.9385,23,26,2020-24,small,non-Asia,internal,expert_clinical,unclear,deep learning
Gheisari (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Gheisari (2021).pdf,04_fulltext/pdfs/Gheisari (2021).pdf,ResNet50 + LSTM (age-matched subgroup),20,3,5,21,23,26,0.88,0.79,n/r,image,fundus,Clinical diagnosis by glaucoma specialist based on dilated stereoscopic ONH examination (structural features) with or without visual field defects on SAP (Humphrey 24-2 SITA-Standard); OCT used as adjunct,Oceania,internal,cross-sectional,no,any,any,n/r,n/r,ResNet50 + LSTM (age-matched subgroup),n/r,claude_opus_v4,0.8696,0.6787,0.9546,0.8077,0.6212,0.9149,23,26,2020-24,small,non-Asia,internal,expert_clinical,unclear,deep learning
Garcia-Lopez (2026),2026,projects/glaucoma-dl-dta-nma/pdfs/Garcia-Lopez (2026).pdf,04_fulltext/pdfs/Garcia-Lopez (2026).pdf,Multi-modal CNN ensemble (Majority Voting) — Raja 2020 / AFIO Pakistan external test,12,3,3,20,15,23,0.800,0.870,0.881,image,multimodal,Public dataset labels and ophthalmologist consensus; external datasets labeled by four ophthalmologists with suspicious cases excluded,mixed,both,retrospective,no,any,any,n/r,n/r,Multi-modal CNN ensemble (Majority Voting) — Raja 2020 / AFIO Pakistan external test,n/r,claude_opus_v4,0.8000,0.5481,0.9295,0.8696,0.6787,0.9546,15,23,2025+,small,mixed,internal,expert_clinical,unclear,deep learning
Garcia-Lopez (2026),2026,projects/glaucoma-dl-dta-nma/pdfs/Garcia-Lopez (2026).pdf,04_fulltext/pdfs/Garcia-Lopez (2026).pdf,Multi-modal CNN ensemble (Averaging) — Raja 2020 / AFIO Pakistan external test,12,3,3,20,15,23,0.800,0.870,0.924,image,multimodal,Public dataset labels and ophthalmologist consensus; external datasets labeled by four ophthalmologists with suspicious cases excluded,mixed,both,retrospective,no,any,any,n/r,n/r,Multi-modal CNN ensemble (Averaging) — Raja 2020 / AFIO Pakistan external test,n/r,claude_opus_v4,0.8000,0.5481,0.9295,0.8696,0.6787,0.9546,15,23,2025+,small,mixed,internal,expert_clinical,unclear,deep learning
Garcia-Lopez (2026),2026,projects/glaucoma-dl-dta-nma/pdfs/Garcia-Lopez (2026).pdf,04_fulltext/pdfs/Garcia-Lopez (2026).pdf,"Multi-modal CNN ensemble (Metric-Based Weighted Voting, linear) — Raja 2020 / AFIO Pakistan external test",13,2,4,19,15,23,0.867,0.826,0.953,image,multimodal,Public dataset labels and ophthalmologist consensus; external datasets labeled by four ophthalmologists with suspicious cases excluded,mixed,both,retrospective,no,any,any,n/r,n/r,"Multi-modal CNN ensemble (Metric-Based Weighted Voting, linear) — Raja 2020 / AFIO Pakistan external test",n/r,claude_opus_v4,0.8667,0.6212,0.9626,0.8261,0.6286,0.9302,15,23,2025+,small,mixed,internal,expert_clinical,unclear,deep learning
Garcia-Lopez (2026),2026,projects/glaucoma-dl-dta-nma/pdfs/Garcia-Lopez (2026).pdf,04_fulltext/pdfs/Garcia-Lopez (2026).pdf,"Multi-modal CNN ensemble (Metric-Based Weighted Voting, exponential / MBWVe) — Raja 2020 / AFIO Pakistan external test",13,2,3,20,15,23,0.867,0.870,0.965,image,multimodal,Public dataset labels and ophthalmologist consensus; external datasets labeled by four ophthalmologists with suspicious cases excluded,mixed,both,retrospective,no,any,any,n/r,n/r,"Multi-modal CNN ensemble (Metric-Based Weighted Voting, exponential / MBWVe) — Raja 2020 / AFIO Pakistan external test",n/r,claude_opus_v4,0.8667,0.6212,0.9626,0.8696,0.6787,0.9546,15,23,2025+,small,mixed,internal,expert_clinical,unclear,deep learning
Garcia-Lopez (2026),2026,projects/glaucoma-dl-dta-nma/pdfs/Garcia-Lopez (2026).pdf,04_fulltext/pdfs/Garcia-Lopez (2026).pdf,Multi-modal CNN ensemble (Stacking SVM) — Raja 2020 / AFIO Pakistan external test,13,2,6,17,15,23,0.867,0.739,0.915,image,multimodal,Public dataset labels and ophthalmologist consensus; external datasets labeled by four ophthalmologists with suspicious cases excluded,mixed,both,retrospective,no,any,any,n/r,n/r,Multi-modal CNN ensemble (Stacking SVM) — Raja 2020 / AFIO Pakistan external test,n/r,claude_opus_v4,0.8667,0.6212,0.9626,0.7391,0.5353,0.8745,15,23,2025+,small,mixed,internal,expert_clinical,unclear,deep learning
Garcia-Lopez (2026),2026,projects/glaucoma-dl-dta-nma/pdfs/Garcia-Lopez (2026).pdf,04_fulltext/pdfs/Garcia-Lopez (2026).pdf,Multi-modal CNN ensemble (MLP feature-level fusion) — Raja 2020 / AFIO Pakistan external test,15,0,7,16,15,23,1.000,0.696,0.924,image,multimodal,Public dataset labels and ophthalmologist consensus; external datasets labeled by four ophthalmologists with suspicious cases excluded,mixed,both,retrospective,no,any,any,n/r,n/r,Multi-modal CNN ensemble (MLP feature-level fusion) — Raja 2020 / AFIO Pakistan external test,n/r,claude_opus_v4,1.0000,0.7961,1.0000,0.6957,0.4913,0.8440,15,23,2025+,small,mixed,internal,expert_clinical,unclear,deep learning
Garcia-Lopez (2026),2026,projects/glaucoma-dl-dta-nma/pdfs/Garcia-Lopez (2026).pdf,04_fulltext/pdfs/Garcia-Lopez (2026).pdf,Multi-modal CNN ensemble (Majority Voting) — IMO Mexico external test,11,5,5,104,16,109,0.688,0.954,0.853,image,multimodal,Public dataset labels and ophthalmologist consensus; external datasets labeled by four ophthalmologists with suspicious cases excluded,mixed,both,retrospective,no,any,any,n/r,n/r,Multi-modal CNN ensemble (Majority Voting) — IMO Mexico external test,n/r,claude_opus_v4,0.6875,0.4440,0.8584,0.9541,0.8971,0.9802,16,109,2025+,small,mixed,internal,expert_clinical,unclear,deep learning
Garcia-Lopez (2026),2026,projects/glaucoma-dl-dta-nma/pdfs/Garcia-Lopez (2026).pdf,04_fulltext/pdfs/Garcia-Lopez (2026).pdf,Multi-modal CNN ensemble (Averaging) — IMO Mexico external test,13,3,5,104,16,109,0.813,0.954,0.862,image,multimodal,Public dataset labels and ophthalmologist consensus; external datasets labeled by four ophthalmologists with suspicious cases excluded,mixed,both,retrospective,no,any,any,n/r,n/r,Multi-modal CNN ensemble (Averaging) — IMO Mexico external test,n/r,claude_opus_v4,0.8125,0.5699,0.9341,0.9541,0.8971,0.9802,16,109,2025+,small,mixed,internal,expert_clinical,unclear,deep learning
Garcia-Lopez (2026),2026,projects/glaucoma-dl-dta-nma/pdfs/Garcia-Lopez (2026).pdf,04_fulltext/pdfs/Garcia-Lopez (2026).pdf,"Multi-modal CNN ensemble (Metric-Based Weighted Voting, linear) — IMO Mexico external test",13,3,5,104,16,109,0.813,0.954,0.865,image,multimodal,Public dataset labels and ophthalmologist consensus; external datasets labeled by four ophthalmologists with suspicious cases excluded,mixed,both,retrospective,no,any,any,n/r,n/r,"Multi-modal CNN ensemble (Metric-Based Weighted Voting, linear) — IMO Mexico external test",n/r,claude_opus_v4,0.8125,0.5699,0.9341,0.9541,0.8971,0.9802,16,109,2025+,small,mixed,internal,expert_clinical,unclear,deep learning
Garcia-Lopez (2026),2026,projects/glaucoma-dl-dta-nma/pdfs/Garcia-Lopez (2026).pdf,04_fulltext/pdfs/Garcia-Lopez (2026).pdf,"Multi-modal CNN ensemble (Metric-Based Weighted Voting, exponential / MBWVe) — IMO Mexico external test",12,4,5,104,16,109,0.750,0.954,0.871,image,multimodal,Public dataset labels and ophthalmologist consensus; external datasets labeled by four ophthalmologists with suspicious cases excluded,mixed,both,retrospective,no,any,any,n/r,n/r,"Multi-modal CNN ensemble (Metric-Based Weighted Voting, exponential / MBWVe) — IMO Mexico external test",n/r,claude_opus_v4,0.7500,0.5050,0.8982,0.9541,0.8971,0.9802,16,109,2025+,small,mixed,internal,expert_clinical,unclear,deep learning
Garcia-Lopez (2026),2026,projects/glaucoma-dl-dta-nma/pdfs/Garcia-Lopez (2026).pdf,04_fulltext/pdfs/Garcia-Lopez (2026).pdf,Multi-modal CNN ensemble (Stacking SVM) — IMO Mexico external test,8,8,14,95,16,109,0.500,0.872,0.846,image,multimodal,Public dataset labels and ophthalmologist consensus; external datasets labeled by four ophthalmologists with suspicious cases excluded,mixed,both,retrospective,no,any,any,n/r,n/r,Multi-modal CNN ensemble (Stacking SVM) — IMO Mexico external test,n/r,claude_opus_v4,0.5000,0.2800,0.7200,0.8716,0.7959,0.9219,16,109,2025+,small,mixed,internal,expert_clinical,unclear,deep learning
Garcia-Lopez (2026),2026,projects/glaucoma-dl-dta-nma/pdfs/Garcia-Lopez (2026).pdf,04_fulltext/pdfs/Garcia-Lopez (2026).pdf,Multi-modal CNN ensemble (MLP feature-level fusion) — IMO Mexico external test,9,7,6,103,16,109,0.563,0.945,0.871,image,multimodal,Public dataset labels and ophthalmologist consensus; external datasets labeled by four ophthalmologists with suspicious cases excluded,mixed,both,retrospective,no,any,any,n/r,n/r,Multi-modal CNN ensemble (MLP feature-level fusion) — IMO Mexico external test,n/r,claude_opus_v4,0.5625,0.3318,0.7690,0.9450,0.8851,0.9745,16,109,2025+,small,mixed,internal,expert_clinical,unclear,deep learning
