Study,Year,Test_arm,AI_algorithm,Number_of_human_readers,Reader_experience_yrs,Validation_type,Reference_standard,Threshold_cutoff,Unit,Imaging_modality,Scan_target
Kim (2020),2020,All 4 maps with axial length,VGG-19 CNN,n/r,n/r,internal,Diagnosis by glaucoma specialists based on disc and RNFL photographs and visual fields; discrepancies resolved by consensus,softmax probability; cutoff n/r,eye,OCT,RNFL + macula/GCIPL
Kulkarni (2025),2025,Proposed OGFA+CNN,Optimized Graph Filter Augmentation plus Convolutional Neural Network,n/r,n/r,internal,labeled fundus image dataset,n/r,image,fundus,retina
Qiu (2025),2025,Fundus photographs model,"Ensemble CNN: Swin_base_patch4_window7_224_in22k, InceptionResNetV2, InceptionV3, Xception",0,n/r,internal,"POAG diagnosis based on fundus photography, OCT, standard automated perimetry and medical history",maximum Youden index; numeric cutoff n/r,eye,fundus,macula-centered fundus/optic disc
Qiu (2025),2025,RNFL and GCIPL deviation maps model,"Ensemble CNN: Swin_base_patch4_window7_224_in22k, InceptionResNetV2, InceptionV3, Xception",0,n/r,internal,"POAG diagnosis based on fundus photography, OCT, standard automated perimetry and medical history",maximum Youden index; numeric cutoff n/r,eye,OCT,RNFL and GCIPL deviation maps
Qiu (2025),2025,RNFL and GCIPL thickness maps model,"Ensemble CNN: Swin_base_patch4_window7_224_in22k, InceptionResNetV2, InceptionV3, Xception",0,n/r,internal,"POAG diagnosis based on fundus photography, OCT, standard automated perimetry and medical history",maximum Youden index; numeric cutoff n/r,eye,OCT,RNFL and GCIPL thickness maps
Qiu (2025),2025,Fundus photographs + RNFL and GCIPL deviation maps model,Ensemble CNN with back-end mean fusion of image-type ensemble outputs,0,n/r,internal,"POAG diagnosis based on fundus photography, OCT, standard automated perimetry and medical history",maximum Youden index; numeric cutoff n/r,eye,multimodal,"fundus/optic disc, RNFL and GCIPL deviation maps"
Qiu (2025),2025,Fundus photographs + RNFL and GCIPL thickness maps model,Ensemble CNN with back-end mean fusion of image-type ensemble outputs,0,n/r,internal,"POAG diagnosis based on fundus photography, OCT, standard automated perimetry and medical history",maximum Youden index; numeric cutoff n/r,eye,multimodal,"fundus/optic disc, RNFL and GCIPL thickness maps"
Qiu (2025),2025,Fundus photographs + RNFL and GCIPL deviation + thickness maps model,Ensemble CNN with back-end mean fusion of image-type ensemble outputs,0,n/r,internal,"POAG diagnosis based on fundus photography, OCT, standard automated perimetry and medical history",maximum Youden index; numeric cutoff n/r,eye,multimodal,"fundus/optic disc, RNFL and GCIPL deviation and thickness maps"
Qiu (2025),2025,Ophthalmologist comparator,n/r,3,attending ophthalmologists at least 5 years; resident ophthalmologist 1-3 years,internal,"POAG diagnosis based on fundus photography, OCT, standard automated perimetry and medical history",categorical glaucoma/non-glaucoma reader decision,eye,multimodal,"fundus/optic disc, RNFL and GCIPL"
El-Nimri (2023),2023,RNFLT global measurement below 5th percentile,n/r,n/r,n/r,internal,Glaucomatous visual field damage on reliable Humphrey visual field tests,global RNFLT below 5th percentile,eye,OCT,RNFL
El-Nimri (2023),2023,BMO-MRW global measurement below 5th percentile,n/r,n/r,n/r,internal,Glaucomatous visual field damage on reliable Humphrey visual field tests,global BMO-MRW below 5th percentile,eye,OCT,ONH
El-Nimri (2023),2023,Combined RNFLT or BMO-MRW global measurement below 5th percentile,n/r,n/r,n/r,internal,Glaucomatous visual field damage on reliable Humphrey visual field tests,global RNFLT or global BMO-MRW below 5th percentile,eye,OCT,RNFL and ONH
El-Nimri (2023),2023,RNFLT global measurement below 1st percentile,n/r,n/r,n/r,internal,Glaucomatous visual field damage on reliable Humphrey visual field tests,global RNFLT below 1st percentile,eye,OCT,RNFL
El-Nimri (2023),2023,BMO-MRW global measurement below 1st percentile,n/r,n/r,n/r,internal,Glaucomatous visual field damage on reliable Humphrey visual field tests,global BMO-MRW below 1st percentile,eye,OCT,ONH
El-Nimri (2023),2023,Combined RNFLT or BMO-MRW global measurement below 1st percentile,n/r,n/r,n/r,internal,Glaucomatous visual field damage on reliable Humphrey visual field tests,global RNFLT or global BMO-MRW below 1st percentile,eye,OCT,RNFL and ONH
El-Nimri (2023),2023,RNFLT one or more sectoral measures below 5th percentile,n/r,n/r,n/r,internal,Glaucomatous visual field damage on reliable Humphrey visual field tests,>=1 sectoral RNFLT measure below 5th percentile,eye,OCT,RNFL
El-Nimri (2023),2023,BMO-MRW one or more sectoral measures below 5th percentile,n/r,n/r,n/r,internal,Glaucomatous visual field damage on reliable Humphrey visual field tests,>=1 sectoral BMO-MRW measure below 5th percentile,eye,OCT,ONH
El-Nimri (2023),2023,Combined RNFLT or BMO-MRW one or more sectoral measures below 5th percentile,n/r,n/r,n/r,internal,Glaucomatous visual field damage on reliable Humphrey visual field tests,>=1 sectoral RNFLT or BMO-MRW measure below 5th percentile,eye,OCT,RNFL and ONH
El-Nimri (2023),2023,RNFLT one or more sectoral measures below 1st percentile,n/r,n/r,n/r,internal,Glaucomatous visual field damage on reliable Humphrey visual field tests,>=1 sectoral RNFLT measure below 1st percentile,eye,OCT,RNFL
El-Nimri (2023),2023,BMO-MRW one or more sectoral measures below 1st percentile,n/r,n/r,n/r,internal,Glaucomatous visual field damage on reliable Humphrey visual field tests,>=1 sectoral BMO-MRW measure below 1st percentile,eye,OCT,ONH
El-Nimri (2023),2023,Combined RNFLT or BMO-MRW one or more sectoral measures below 1st percentile,n/r,n/r,n/r,internal,Glaucomatous visual field damage on reliable Humphrey visual field tests,>=1 sectoral RNFLT or BMO-MRW measure below 1st percentile,eye,OCT,RNFL and ONH
El-Nimri (2023),2023,RNFLT superotemporal and/or inferotemporal measurement below 5th percentile,n/r,n/r,n/r,internal,Glaucomatous visual field damage on reliable Humphrey visual field tests,superotemporal and/or inferotemporal RNFLT below 5th percentile,eye,OCT,RNFL
El-Nimri (2023),2023,BMO-MRW superotemporal and/or inferotemporal measurement below 5th percentile,n/r,n/r,n/r,internal,Glaucomatous visual field damage on reliable Humphrey visual field tests,superotemporal and/or inferotemporal BMO-MRW below 5th percentile,eye,OCT,ONH
El-Nimri (2023),2023,Combined RNFLT or BMO-MRW superotemporal and/or inferotemporal measurement below 5th percentile,n/r,n/r,n/r,internal,Glaucomatous visual field damage on reliable Humphrey visual field tests,superotemporal and/or inferotemporal RNFLT or BMO-MRW below 5th percentile,eye,OCT,RNFL and ONH
El-Nimri (2023),2023,RNFLT superotemporal and/or inferotemporal measurement below 1st percentile,n/r,n/r,n/r,internal,Glaucomatous visual field damage on reliable Humphrey visual field tests,superotemporal and/or inferotemporal RNFLT below 1st percentile,eye,OCT,RNFL
El-Nimri (2023),2023,BMO-MRW superotemporal and/or inferotemporal measurement below 1st percentile,n/r,n/r,n/r,internal,Glaucomatous visual field damage on reliable Humphrey visual field tests,superotemporal and/or inferotemporal BMO-MRW below 1st percentile,eye,OCT,ONH
El-Nimri (2023),2023,Combined RNFLT or BMO-MRW superotemporal and/or inferotemporal measurement below 1st percentile,n/r,n/r,n/r,internal,Glaucomatous visual field damage on reliable Humphrey visual field tests,superotemporal and/or inferotemporal RNFLT or BMO-MRW below 1st percentile,eye,OCT,RNFL and ONH
Lau (2025),2025,DLM Index cutoff >=50,ImageNet-pretrained ResNet-50,n/r,n/r,external,"OCT expert reading center labels for ON-G cohorts; Clear-G and healthy cohorts defined using OCT, visual fields, fundus photos, history, and clinical examinations",>=50,eye,OCT,widefield OCT Hood report; ONH/RNFL/GCL+/macula
Lau (2025),2025,DLM Index cutoff >=25,ImageNet-pretrained ResNet-50,n/r,n/r,external,"OCT expert reading center labels for ON-G cohorts; Clear-G and healthy cohorts defined using OCT, visual fields, fundus photos, history, and clinical examinations",>=25,eye,OCT,widefield OCT Hood report; ONH/RNFL/GCL+/macula
Shibata (2018),2018,ResNet external validation: all eyes,"ResNet, 18 convolutional layers",3,"1, 3, and 4",external,independent diagnosis by three ophthalmologists based on fundus photographs and OCT images,n/r,eye,fundus,ONH
Shibata (2018),2018,ResNet internal three-fold cross-validation,"ResNet, 18 convolutional layers",n/r,n/r,internal,single ophthalmologist/glaucoma specialist diagnosis of fundus photographs according to Japan Glaucoma Society guidelines,n/r,image,fundus,ONH
Rogers (2019),2019,Pegasus AI,collection of CNNs including ResNet-50 for abnormality classification,n/r,n/r,external,"Diagnosis by glaucoma specialists based on optic disc appearance, reproducible visual field defects, elevated intraocular pressure, and family history",n/r,image,fundus,ONH
Li (2021),2021,CMAAI test set,"InceptionResNetV2 CNN pretrained on ImageNet, implemented in TensorFlow",n/r,n/r,internal,consensus grading by three board-certified glaucoma specialists; arbitration by senior glaucoma specialist for disagreements,n/r,image,ultra-widefield fundus photography,ONH
Li (2021),2021,ZOC data set,"InceptionResNetV2 CNN pretrained on ImageNet, implemented in TensorFlow",2,3 and 6,external,consensus grading by three board-certified glaucoma specialists; arbitration by senior glaucoma specialist for disagreements,n/r,image,ultra-widefield fundus photography,ONH
Li (2021),2021,XOH data set,"InceptionResNetV2 CNN pretrained on ImageNet, implemented in TensorFlow",n/r,n/r,external,consensus grading by three board-certified glaucoma specialists; arbitration by senior glaucoma specialist for disagreements,n/r,image,ultra-widefield fundus photography,ONH
Li (2021),2021,TOPP data set,"InceptionResNetV2 CNN pretrained on ImageNet, implemented in TensorFlow",n/r,n/r,external,consensus grading by three board-certified glaucoma specialists; arbitration by senior glaucoma specialist for disagreements,n/r,image,ultra-widefield fundus photography,ONH
Li (2022),2022,automated fundus screening algorithm for glaucoma suspect,self-designed deep learning model; DenseNet-121 backbone with bilinear pooling,2,6 and 10; adjudicator 19,external,IRC ophthalmologist grading with adjudication; glaucoma suspect based on fundus hallmarks including enlarged cup-to-disc ratio and rim-width rule violation,positive for GCS; probability threshold n/r,patient,fundus,ONH
Wei (2025),2025,CARE AI system for possible/suspected glaucoma,single convolutional neural network (CNN),2,n/r,internal,"double-blind review by two associate chief ophthalmologists, with third chief ophthalmologist adjudication for disagreement",n/r,image,fundus,n/r
Liao (2020),2020,EAMNet,"Convolutional neural network with ResBlock backbone, Multi-Layers Average Pooling, and Evidence Activation Mapping",n/r,n/r,internal,clinical glaucoma diagnosis with manual optic disc mask labels for segmentation evidence,n/r,image,fundus,ONH
Xu (2021)b,2021,Validation dataset 1 overall region,"hierarchical deep learning system: Inception-v3 pre-diagnosis classification network, U-Net segmentation networks, SVM/decision tree final diagnosis",2,>10,internal,2 senior glaucoma specialists using fundus photographs; glaucomatous optic neuropathy grading,0.8,image,fundus,ONH/RNFL
Xu (2021)b,2021,Validation dataset 1 reliable region,"hierarchical deep learning system: Inception-v3 pre-diagnosis classification network, U-Net segmentation networks, SVM/decision tree final diagnosis",2,>10,internal,2 senior glaucoma specialists using fundus photographs; glaucomatous optic neuropathy grading,0.8; reliable confidence region,image,fundus,ONH/RNFL
Xu (2021)b,2021,Validation dataset 1 suspicious region,"hierarchical deep learning system: Inception-v3 pre-diagnosis classification network, U-Net segmentation networks, SVM/decision tree final diagnosis",2,>10,internal,2 senior glaucoma specialists using fundus photographs; glaucomatous optic neuropathy grading,0.8; suspicious confidence region,image,fundus,ONH/RNFL
Xu (2021)b,2021,Validation dataset 2 overall region,"hierarchical deep learning system: Inception-v3 pre-diagnosis classification network, U-Net segmentation networks, SVM/decision tree final diagnosis",2,>10,external,2 senior glaucoma specialists using fundus photographs; glaucomatous optic neuropathy grading,0.8,image,fundus,ONH/RNFL
Xu (2021)b,2021,Validation dataset 2 reliable region,"hierarchical deep learning system: Inception-v3 pre-diagnosis classification network, U-Net segmentation networks, SVM/decision tree final diagnosis",2,>10,external,2 senior glaucoma specialists using fundus photographs; glaucomatous optic neuropathy grading,0.8; reliable confidence region,image,fundus,ONH/RNFL
Xu (2021)b,2021,Validation dataset 2 suspicious region,"hierarchical deep learning system: Inception-v3 pre-diagnosis classification network, U-Net segmentation networks, SVM/decision tree final diagnosis",2,>10,external,2 senior glaucoma specialists using fundus photographs; glaucomatous optic neuropathy grading,0.8; suspicious confidence region,image,fundus,ONH/RNFL
Wang (2020),2020,HK dataset internal test,2D-ResNet-SEMT; ResNet18-based semi-supervised multi-task CNN with surrogate visual-field label assignment,n/r,n/r,internal,glaucoma specialists labeled OCT images as glaucoma or normal using visual field test results and clinical records; senior expert adjudicated disagreements,n/r,image,OCT,optic disc/ONH
Wang (2020),2020,Stanford dataset external test,2D-ResNet-SEMT; ResNet18-based semi-supervised multi-task CNN with surrogate visual-field label assignment,n/r,n/r,external,clinical glaucoma/normal labels; visual field measurements not provided for Stanford dataset,n/r,image,OCT,optic disc/ONH
Shibata (2018),2018,"ResNet external validation, all eyes","ResNet, 18 convolutional layers",n/r,n/r,external,independent diagnosis by three ophthalmologists specializing in glaucoma using fundus photographs and OCT images,n/r,eye,fundus,ONH
Shibata (2018),2018,ResNet internal three-fold cross-validation,"ResNet, 18 convolutional layers",n/r,n/r,internal,single ophthalmologist/glaucoma specialist labeling fundus photographs according to Japan Glaucoma Society Guidelines,n/r,image,fundus,ONH
Hemelings (2023),2023,G-RISK: BMES eye-level,custom ResNet-50 regression CNN,0,n/r,external,"BMES open-angle glaucoma diagnosis using visual field loss, matching neuroretinal rim thinning, VCDR/asymmetry and gonioscopy criteria",0.70,eye,fundus,ONH
Hemelings (2023),2023,G-RISK: BMES individual-level,custom ResNet-50 regression CNN,0,n/r,external,"BMES open-angle glaucoma diagnosis using visual field loss, matching neuroretinal rim thinning, VCDR/asymmetry and gonioscopy criteria",0.70,patient,fundus,ONH
Hemelings (2023),2023,G-RISK: GHS individual-level,custom ResNet-50 regression CNN,0,n/r,external,"GHS glaucoma diagnosis using modified ISGEO criteria including disc-size adjusted VCDR, asymmetry and rim narrowing",0.70,patient,fundus,ONH
Hemelings (2023),2023,G-RISK: PAPILA individual-level,custom ResNet-50 regression CNN,0,n/r,external,"PAPILA glaucoma labels in glaucomatous, non-glaucomatous and suspect categories based on clinical data evaluated by trained ophthalmologists",0.70,patient,fundus,ONH
Hemelings (2023),2023,G-RISK: AIROGS,custom ResNet-50 regression CNN,0,n/r,external,AIROGS referable glaucoma labels assigned by glaucoma expert graders using structural features or biomarkers with expected visual field damage,0.70,image,fundus,ONH
Hemelings (2023),2023,G-RISK: ORIGA,custom ResNet-50 regression CNN,0,n/r,external,ORIGA dataset-owner glaucoma labels; labeling procedure not defined,0.70,image,fundus,ONH
Hemelings (2023),2023,G-RISK: REFUGE1,custom ResNet-50 regression CNN,0,n/r,external,"REFUGE1 multimodal assessment of clinical records, IOP, OCT, visual fields and follow-up examinations",0.70,image,fundus,ONH
Hemelings (2023),2023,G-RISK: ODIR,custom ResNet-50 regression CNN,0,n/r,external,ODIR expert-annotated multi-disease fundus labels including glaucoma,0.70,image,fundus,ONH
Hemelings (2023),2023,G-RISK: GAMMA,custom ResNet-50 regression CNN,0,n/r,external,"GAMMA glaucoma reference standard based on fundus photography, IOP, visual field and OCT",0.70,image,fundus,ONH
Hemelings (2023),2023,G-RISK: LAG,custom ResNet-50 regression CNN,0,n/r,external,"LAG reference standard using IOP, visual field examinations and manual optic nerve head assessment by qualified specialists",0.70,image,fundus,ONH
Hemelings (2023),2023,G-RISK: RIM-ONE r3,custom ResNet-50 regression CNN,0,n/r,external,RIM-ONE r3 dataset-owner healthy and glaucoma labels; detailed reference standard n/r,0.70,image,fundus,ONH
Hemelings (2023),2023,G-RISK: RIM-ONE DL,custom ResNet-50 regression CNN,0,n/r,external,RIM-ONE DL images re-evaluated by two experts; glaucoma confirmed by a glaucoma expert from fundus photograph evaluation,0.70,image,fundus,ONH
Hemelings (2023),2023,G-RISK: ACRIMA,custom ResNet-50 regression CNN,0,n/r,external,ACRIMA glaucoma labels assigned by two experts,0.70,image,fundus,ONH
Lin (2022)a,2022,OHTS dataset - GlaucomaNet,"DenseNet-201 and ResNet-152 feature-fusion convolutional neural network with concatenation, 1x1 convolution, batch normalization, ReLU, global average pooling, fully connected layer, and sigmoid output",2,n/r,internal,OHTS visual field reading center and optic disc reading center assessment; certified optic-disc readers with senior masked adjudication for disagreements,n/r,image,fundus,ONH/optic disc
Lin (2022)a,2022,LAG dataset - GlaucomaNet,"DenseNet-201 and ResNet-152 feature-fusion convolutional neural network with concatenation, 1x1 convolution, batch normalization, ReLU, global average pooling, fully connected layer, and sigmoid output",n/r,n/r,internal,"Qualified glaucoma specialist diagnosis using intraocular pressure, visual field loss, and manual optic disc assessment; positive and negative glaucoma status confirmed as gold standard",n/r,image,fundus,ONH/optic disc
Maetschke (2021),2021,Proposed method (RAGNet + SWM),2D CNN feature extractor with residual and attention blocks plus LSTM and sequential-weighting module,n/r,n/r,internal,Expert ophthalmologist diagnosis using European guideline for glaucoma diagnosis,n/r,eye,OCT,ONH
Maetschke (2021),2021,Proposed method (RAGNet + SWM),2D CNN feature extractor with residual and attention blocks plus LSTM and sequential-weighting module,n/r,n/r,external,Expert ophthalmologist diagnosis using European guideline for glaucoma diagnosis,n/r,eye,OCT,ONH
Bisneto (2020),2020,Proposed method: cGAN segmentation + taxonomic diversity/distinction indices + MLP,conditional GAN/Pix2pix U-Net generator with PatchGAN discriminator; MLP classifier,n/r,n/r,internal,specialist-labeled glaucomatous/non-glaucomatous public dataset labels and specialist OD masks,n/r,image,fundus,ONH
Bisneto (2020),2020,Proposed method: cGAN segmentation + taxonomic diversity/distinction indices + SMO,conditional GAN/Pix2pix U-Net generator with PatchGAN discriminator; Sequential Minimal Optimization classifier,n/r,n/r,internal,specialist-labeled glaucomatous/non-glaucomatous public dataset labels and specialist OD masks,n/r,image,fundus,ONH
Bisneto (2020),2020,Proposed method: cGAN segmentation + taxonomic diversity/distinction indices + Random Forest,conditional GAN/Pix2pix U-Net generator with PatchGAN discriminator; Random Forest classifier,n/r,n/r,internal,specialist-labeled glaucomatous/non-glaucomatous public dataset labels and specialist OD masks,n/r,image,fundus,ONH
MacCormick (2019),2019,"Spatial algorithm with semi-automated segmentation, ORIGA internal validation",hierarchical spatial probabilistic mixed-effects model using 24-dimensional pCDR profile,n/r,n/r,internal,ORIGA clinical glaucoma diagnosis labels,posterior probability p_th=0.96,eye,fundus,ONH
MacCormick (2019),2019,"Spatial algorithm with automatic segmentation, ORIGA internal validation",DenseNet-based fully convolutional segmentation plus hierarchical spatial probabilistic pCDR classifier,n/r,n/r,internal,ORIGA clinical glaucoma diagnosis labels,n/r,eye,fundus,ONH
MacCormick (2019),2019,"Spatial algorithm with semi-automated segmentation, RIM-ONE external validation",hierarchical spatial probabilistic mixed-effects model using 24-dimensional pCDR profile,n/r,n/r,external,RIM-ONE clinical glaucoma diagnosis labels,n/r,eye,fundus,ONH
MacCormick (2019),2019,"Spatial algorithm with automatic segmentation, RIM-ONE external validation",DenseNet-based fully convolutional segmentation plus hierarchical spatial probabilistic pCDR classifier,n/r,n/r,external,RIM-ONE clinical glaucoma diagnosis labels,posterior probability p_th=0.90,eye,fundus,ONH
MacCormick (2019),2019,"Support vector machine comparator using pCDR, ORIGA internal validation",support vector machine using 24-dimensional pCDR profile,n/r,n/r,internal,ORIGA clinical glaucoma diagnosis labels,n/r,eye,fundus,ONH
Bisneto (2020),2020,"cGAN segmentation plus taxonomic diversity/distinction features, MLP classifier",conditional GAN/Pix2pix U-net generator with PatchGAN discriminator; multilayer perceptron classifier,n/r,n/r,internal,specialist image analysis/manual optic disc/cup markings and dataset glaucoma labels,n/r,image,fundus,ONH
Bisneto (2020),2020,"cGAN segmentation plus taxonomic diversity/distinction features, SMO classifier",conditional GAN/Pix2pix U-net generator with PatchGAN discriminator; sequential minimal optimization classifier,n/r,n/r,internal,specialist image analysis/manual optic disc/cup markings and dataset glaucoma labels,n/r,image,fundus,ONH
Bisneto (2020),2020,"cGAN segmentation plus taxonomic diversity/distinction features, Random Forest classifier",conditional GAN/Pix2pix U-net generator with PatchGAN discriminator; Random Forest classifier,n/r,n/r,internal,specialist image analysis/manual optic disc/cup markings and dataset glaucoma labels,n/r,image,fundus,ONH
Muhammad (2017),2017,RNFL thickness,Pretrained AlexNet feature extraction plus random forest classifier,2,n/r,internal,Two glaucoma specialists classified eyes as glaucomatous or healthy/probably healthy,random forest probability threshold n/r,eye,OCT,RNFL
Muhammad (2017),2017,RGC+ thickness,Pretrained AlexNet feature extraction plus random forest classifier,2,n/r,internal,Two glaucoma specialists classified eyes as glaucomatous or healthy/probably healthy,random forest probability threshold n/r,eye,OCT,macula/RGC+
Muhammad (2017),2017,RNFL probability,Pretrained AlexNet feature extraction plus random forest classifier,2,n/r,internal,Two glaucoma specialists classified eyes as glaucomatous or healthy/probably healthy,random forest probability threshold n/r,eye,OCT,RNFL
Muhammad (2017),2017,RGC+ probability,Pretrained AlexNet feature extraction plus random forest classifier,2,n/r,internal,Two glaucoma specialists classified eyes as glaucomatous or healthy/probably healthy,random forest probability threshold n/r,eye,OCT,macula/RGC+
Muhammad (2017),2017,En face projection,Pretrained AlexNet feature extraction plus random forest classifier,2,n/r,internal,Two glaucoma specialists classified eyes as glaucomatous or healthy/probably healthy,random forest probability threshold n/r,eye,OCT,en face retina
Muhammad (2017),2017,Combined,Pretrained AlexNet feature extraction plus random forest classifier,2,n/r,internal,Two glaucoma specialists classified eyes as glaucomatous or healthy/probably healthy,random forest probability threshold n/r,eye,OCT,RNFL and macula/RGC+
Vali (2023),2023,DenseNet121 internal validation,DenseNet121,n/r,n/r,internal,clinical diagnosis from medical records by neuro-ophthalmologists and glaucoma specialists,softmax 3-class classification; cutoff n/r,image,fundus,ONH
Vali (2023),2023,Vision Transformer internal validation,Vision Transformer,n/r,n/r,internal,clinical diagnosis from medical records by neuro-ophthalmologists and glaucoma specialists,softmax 3-class classification; cutoff n/r,image,fundus,ONH
Vali (2023),2023,InceptionV3 internal validation,InceptionV3,n/r,n/r,internal,clinical diagnosis from medical records by neuro-ophthalmologists and glaucoma specialists,softmax 3-class classification; cutoff n/r,image,fundus,ONH
Vali (2023),2023,VGG16 internal validation,VGG16,n/r,n/r,internal,clinical diagnosis from medical records by neuro-ophthalmologists and glaucoma specialists,softmax 3-class classification; cutoff n/r,image,fundus,ONH
Vali (2023),2023,ResNet18 internal validation,ResNet18,n/r,n/r,internal,clinical diagnosis from medical records by neuro-ophthalmologists and glaucoma specialists,softmax 3-class classification; cutoff n/r,image,fundus,ONH
Vali (2023),2023,MobileNet internal validation,MobileNet,n/r,n/r,internal,clinical diagnosis from medical records by neuro-ophthalmologists and glaucoma specialists,softmax 3-class classification; cutoff n/r,image,fundus,ONH
Vali (2023),2023,DenseNet121 external validation,DenseNet121,1,n/r,external,clinical diagnosis from medical records by neuro-ophthalmologists and glaucoma specialists,softmax 3-class classification; cutoff n/r,image,fundus,ONH
Nakahara (2022),2022,Ordinary fundus camera: Nonmyd WX-3D,ResNet-34 convolutional neural network,n/r,n/r,external,"Japan Glaucoma Society Guidelines; diagnosis judged independently by 3 glaucoma-specialist ophthalmologists using fundus photographs, with visual field results not considered",n/r,eye,fundus,ONH
Nakahara (2022),2022,Smartphone fundus photography: D-EYE lens attached to iPhone 8,ResNet-34 convolutional neural network,n/r,n/r,external,"Japan Glaucoma Society Guidelines; diagnosis judged independently by 3 glaucoma-specialist ophthalmologists using fundus photographs, with visual field results not considered",n/r,eye,fundus,ONH
Mariottoni (2021),2021,DL glaucoma probability from optic disc fundus photos,ResNet50 transfer learning CNN,n/r,n/r,internal,Objective SDOCT-SAP definition of glaucomatous optic neuropathy,Sensitivity reported at 95% specificity; exact DL probability cutoff n/r,image,fundus,ONH
Shi (2024),2024,Model A: entire retinal image,ResNet50 feature extraction with SVM,2,3,internal,OCT-labelled GON status,n/r,image,fundus,entire image
Shi (2024),2024,Model B: ROI of optic nerve head,automatic segmentation with GLMNet feature selection and SVM,2,3,internal,OCT optic disc scan-labelled GON status,n/r,image,fundus,ONH
Shi (2024),2024,Model C: ROI of macula,automatic segmentation with GLMNet feature selection and SVM,2,3,internal,OCT macular scan-labelled GON status,n/r,image,fundus,macula
Shi (2024),2024,Model D: combined features,combined feature model using SVM,2,3,internal,OCT optic disc and macular scans-labelled GON status,n/r,image,fundus,ONH and macula
Bouris (2026),2026,Vision Transformer internal test set,Vision Transformer; vit-base-patch16-224-in21k pretrained on ImageNet-21k,2,n/r,internal,Two glaucoma specialists graded optic disc photographs; disagreements adjudicated by a third expert grader,prediction score >=0.5,image,fundus,ONH
Bouris (2026),2026,EfficientNetV2B0 comparator internal test set,CNN-based transfer learning with EfficientNetV2B0 and ImageNet weights,2,n/r,internal,Two glaucoma specialists graded optic disc photographs; disagreements adjudicated by a third expert grader,n/r,image,fundus,ONH
Oh (2021),2021,XGBoost,extreme gradient boosting,n/r,n/r,internal,diagnosis by three glaucoma specialists based on characteristic glaucomatous structural change of optic disc accompanied by glaucomatous visual field defects,n/r,eye,multimodal,RNFL
Oh (2021),2021,Support Vector Machine,support vector machine,n/r,n/r,internal,diagnosis by three glaucoma specialists based on characteristic glaucomatous structural change of optic disc accompanied by glaucomatous visual field defects,n/r,eye,multimodal,RNFL
Oh (2021),2021,C5.0,C5.0 decision tree,n/r,n/r,internal,diagnosis by three glaucoma specialists based on characteristic glaucomatous structural change of optic disc accompanied by glaucomatous visual field defects,n/r,eye,multimodal,RNFL
Oh (2021),2021,Random Forest,random forest,n/r,n/r,internal,diagnosis by three glaucoma specialists based on characteristic glaucomatous structural change of optic disc accompanied by glaucomatous visual field defects,n/r,eye,multimodal,RNFL
Sujithra (2024),2024,ORIGA dataset,Gray Wolf Optimization with ResNet-50 CNN transfer learning classifier,n/r,n/r,internal,n/r,n/r,image,fundus,retinal fundus/blood vessels
Sujithra (2024),2024,SCES dataset,Gray Wolf Optimization with ResNet-50 CNN transfer learning classifier,n/r,n/r,internal,n/r,n/r,image,fundus,retinal fundus/blood vessels
Sujithra (2024),2024,SINDI dataset,Gray Wolf Optimization with ResNet-50 CNN transfer learning classifier,n/r,n/r,internal,n/r,n/r,image,fundus,retinal fundus/blood vessels
Sujithra (2024),2024,In-house clinical dataset,Gray Wolf Optimization with ResNet-50 CNN transfer learning classifier,n/r,n/r,internal,n/r,n/r,image,fundus,retinal fundus/blood vessels
Omar (2021),2021,Ensemble based on voting,"ensemble of top five classifiers: logistic regression, random forest, SVM linear, K-nearest neighbors, decision tree",n/r,n/r,internal,dataset label from Kim et al. 2018,majority vote among five models,patient,multimodal,ONH/RNFL/visual field
Omar (2021),2021,Ensemble based on consensus,"ensemble of top five classifiers: logistic regression, random forest, SVM linear, K-nearest neighbors, decision tree",n/r,n/r,internal,dataset label from Kim et al. 2018,no glaucoma only if all five models classify no glaucoma; glaucoma otherwise,patient,multimodal,ONH/RNFL/visual field
Juneja (2020),2020,Proposed architecture,GC-NET CNN,n/r,n/r,internal,ground truth labels from DRISHTI-GS and RIM-One datasets,n/r,image,fundus,ONH
Orlando (2020),2020,VRT,custom attention-guided model using fundus image and region mask; ensemble for glaucoma classification,2,n/r,external,clinical diagnosis from comprehensive records,AUC and reference sensitivity at 85% specificity,image,fundus,ONH/RNFL
Orlando (2020),2020,SDSAIRC,ResNet-50 classifier using vCDR values from OD/OC segmentation and ResNet-50 output,2,n/r,external,clinical diagnosis from comprehensive records,AUC and reference sensitivity at 85% specificity,image,fundus,ONH
Orlando (2020),2020,CUHKMED,OD/OC segmentation-derived vertical cup-to-disc ratio used as glaucoma likelihood,2,n/r,external,clinical diagnosis from comprehensive records,AUC and reference sensitivity at 85% specificity,image,fundus,ONH
Pandey (2024),2024,Deep convolutional ensemble (DCE),ensemble of five ImageNet-pretrained InceptionV3 convolutional neural networks using bootstrap aggregation and weighted cross-entropy loss,7,"mean 2.4, range 1-7",internal,original disease labels from each source dataset/institution; images were not reclassified,majority vote across five networks; no diagnostic probability cutoff reported,image,fundus,retinal fundus/ONH
