Study,Codex_Study_Label,Year,Country,Continent,Setting,Design,N_total,N_glaucoma,N_nonglaucoma,Age_mean,Sex_female_pct,Imaging_modality,AI_system,Reference_standard,Validation_type,Vendor_involvement,Glaucoma_target,Prevalence_pct,Scan_target,Glaucoma_definition
Xu (2024),Xu (2024),2024,China,Asia,hospital,retrospective,523,113,410,47.3 +/- 18.27 training; 47.87 +/- 16.73 testing,44.0 training; 43.93 testing,multimodal,"Dual-modal fusion network using OCT ANN for 30-RNFL thickness and fundus Inception v3, with comparators ANN, Clock, ISNT, OD, ResNet50, VGG16","Two senior glaucoma specialists diagnosed glaucomatous optic neuropathy using fundus images and OCT reports; GON criteria included VCDR >=0.7, rim thinning, RNFL defects, or peripapillary hemorrhage",internal,no,glaucomatous optic neuropathy,21.61,,
Wang (2024),Liu (2024),2024,China,Asia,hospital,retrospective,4000,2000,2000,n/r,n/r,fundus,"ResNet152, DenseNet121, MobileNetV3_small, ShuffleNetV2_x0_5 transfer-learning CNN classifiers trained on fundus color photographs",Diagnosis and labeling by two professional ophthalmologists; glaucoma defined using ISGEO criteria,internal,no,any,50.0,,
Xiong (2025),Xiong (2025),2025,n/r,mixed,research,retrospective,179,47,132,n/r,n/r,fundus,Multi-GlaucNet,REFUGE and ACRIMA public dataset with/without glaucoma labels; diagnostic criteria not reported,internal,no,any,26.3,,
Luo (2021),Luo (2021),2021,China,Asia,research,retrospective,1259,259,1000,n/r,n/r,fundus,EfficientNet-B3 CNN with CLAHE preprocessing; proposed FCL-EfficientNet-B3 using focal loss plus correntropy-induced loss,OIA-ODIR dataset labels annotated by trained ophthalmologist,internal,unclear,any,20.6,,
Rao (2024),Rao (2024),2024,India,Asia,hospital,prospective,243,111,132,59 ± 12,49,fundus,Medios AI-Glaucoma integrated on Remidio NM-FOP 10 smartphone-based fundus camera; ResNet-50 based classification with disc localization/segmentation,Final diagnosis by glaucoma specialists following comprehensive glaucoma work-up; secondary comparisons used consensus image grading by glaucoma specialists,external,yes,any,45.7,,
Guo (2021),Guo (2021),2021,China,Asia,research,retrospective,250,75,175,n/r,n/r,fundus,MobileNetV2 transfer learning; comparators AlexNet and InceptionV3,public Kaggle fundus dataset labels verified by retinal specialists,internal,no,any,30.0,,
Surya (2023),Surya (2023),2023,India,Asia,mixed,prospective,1085,n/r,n/r,53.43,42.3,fundus,"Dr Noon AI system / SaMD, Medi Whale Inc.; modified VGG deep learning model",Ophthalmologist/glaucoma specialist grading of fundus photographs according to International Council of Ophthalmology glaucoma guidelines,external,yes,any,n/r,,
Atalay (2022),Atalay (2022),2022,Turkey,Asia,hospital,retrospective,558 primary glaucoma-detection images; source archive 9950 images from 5388 patients,320 primary DTA images,238 primary DTA normal images,55.9 calculated from reported sex-specific means,71,fundus,custom 2D CNN; ResNet-50; ResNet-101; VGG-19,"Two glaucoma specialists labeled fundus photographs as normal, glaucoma suspect, or glaucoma using predefined optic disc/RNFL criteria; disagreements adjudicated by a third senior ophthalmologist or majority vote",internal,no,any,57.3,,
Guo (2022)b,Guo (2022),2022,mixed,mixed,research,retrospective,7159,2199,4960,n/r,n/r,fundus,MTCLF,"glaucoma diagnostic labels from public datasets; LAG diagnosed by qualified glaucoma experts considering intraocular pressure, visual field and optic disc disease",both,no,any,30.7,,
Mansour (2021),Mansour (2021),2021,Spain; India,mixed,hospital,n/r,260,n/r,n/r,n/r,n/r,fundus,Perceptron based Convolutional Multi-Layer Neural Network with entropy-based CNN optic disc/cup segmentation and weighted least square holistic features,Public dataset labels/annotations: RIM-ONE annotated by two ophthalmologists; DRISHTI-GS optic cup/disc borders from four professionals,internal,no,any,n/r,,
Kui (2025),Kui (2025),2025,"mixed (Spain, China, Singapore, international datasets)",mixed,research,retrospective,2870,699,2171,n/r,n/r,fundus,"PK-Net: GloLocNet and BFNet using YOLOv5 optic-disc localization, ConvNeXt feature extraction, label-smoothed/triple loss, and Grad-CAM visualization",public dataset glaucoma labels/clinical diagnosis; optic disc/cup annotations where available,both,no,any,24.4,,
Xue (2022),Xue (2022),2022,China,Asia,hospital,retrospective,240,180,60,46.8,49.7,multimodal,"MFDL; ResNet-based DetectionNet and ClassificationNet; CFP-DL, VF-DL, DFC-DL comparators","Three experienced glaucoma experts classified normal, mild, moderate, and severe glaucoma according to American Academy of Ophthalmology guidelines; disagreements resolved by discussion to consensus; non-consensus samples excluded",internal,no,any,75.0,,
